Client,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75,Round 76,Round 77,Round 78,Round 79,Round 80,Round 81,Round 82,Round 83,Round 84,Round 85,Round 86,Round 87,Round 88,Round 89,Round 90,Round 91,Round 92,Round 93,Round 94,Round 95,Round 96,Round 97,Round 98,Round 99,Round 100
0,2.2992425490670327,2.290982116352428,2.2753613630358323,2.2196692031959926,2.1031135961239023,2.029364859489146,1.9956897820147386,1.9388091523404813,1.9577393911638097,1.9048889851806188,1.9400080168815907,1.8689487613502866,1.8206520721141977,1.8348268933600933,1.7701344367730307,1.7855128775192315,1.7298901033873606,1.7038392536710985,1.6973846348205415,1.6526866405531697,1.635977058449272,1.6346806635414557,1.5768777442128674,1.5707851623651898,1.5632910712359727,1.5730534398158749,1.5713417924920468,1.5011956767924297,1.5419795751357057,1.4990496980940082,1.5060604145460361,1.5043689879504116,1.5237289266903908,1.479529205578925,1.4628746680157556,1.459630659633022,1.4632623913479108,1.4719778075076566,1.4749507358973355,1.4700363012823727,1.4575048521979235,1.40816429302995,1.4297834545722639,1.424303078093473,1.4362610370376752,1.3618694055627638,1.391696418222278,1.3914426372031925,1.3400352294116702,1.3523034088038626,1.3506623300531766,1.4261854545797559,1.2958100857120929,1.3273968027047913,1.298570077769076,1.2985588464513755,1.2572697154258845,1.3278091844409357,1.318924509330873,1.2810893386039082,1.2919906620288304,1.2357931604908996,1.275632593569511,1.3124270251374541,1.265546554815222,1.33093695400214,1.2884708723433913,1.2594070493584812,1.2726991435196033,1.2668695938039964,1.2401054079311586,1.2140642106264803,1.2615429229504562,1.2501279531997351,1.2194604773869073,1.2447288018105591,1.2659753524538206,1.2264831837612054,1.1826868302965894,1.2185494160459023,1.1891226840384044,1.1703856937741504,1.2134221376973588,1.212299283939262,1.2059752652497038,1.1627400074854937,1.1255041070074567,1.1161124425144693,1.1919731510103984,1.1423369900907727,1.1233934405470194,1.1260694034672556,1.1104661116291015,1.152121046767591,1.1461600822762903,1.1272819951029107,1.1199082787459653,1.1675313681122637,1.10567235978845,1.118344654594854
1,2.299809078044071,2.291085276088765,2.273032095476239,2.21491908440996,2.1212002850081233,2.0710093376404157,2.0394051619220765,1.9889267627558653,1.9791008148201732,1.9573649875525323,1.8646484580973557,1.8692186427179192,1.8136279958711579,1.8474775271210575,1.808294726736824,1.7726159576159806,1.732613714354618,1.7284787401386894,1.642111506349063,1.6686276456993645,1.6716501479404238,1.646576609184493,1.5909446548013126,1.6077903974883068,1.5813677304663922,1.561789337745144,1.5835551462014377,1.5549915272274804,1.5515817091902482,1.5491010919802015,1.543837856262582,1.4912626907634987,1.468078393178409,1.4860361491095297,1.4902936774874278,1.4813568546020535,1.4763215576168527,1.4987397200188373,1.4285105484635083,1.4643243218431146,1.4468646704679629,1.4669242586557858,1.4559276911959091,1.4557668677121531,1.3911221304726873,1.446252917071201,1.3968510792064919,1.3678730839276334,1.4238959948570713,1.3780390869848973,1.4069155553017298,1.363815092328769,1.3422596561898257,1.3815400486352467,1.3896910887836258,1.3086127710509865,1.3133806855768566,1.3314207849845854,1.2984285859082014,1.2718633421687728,1.3589341438475986,1.2811046533149204,1.2999592615492623,1.2880018139429736,1.272400904999583,1.287630645406152,1.2916474116277652,1.2916758278150953,1.3010278088257332,1.2539742763258053,1.2670634012666053,1.2403267176136623,1.2463932508329638,1.242286342293469,1.2438220192299694,1.2179537208798268,1.231401929110158,1.250876730947352,1.2350879882489305,1.2202849727225367,1.2101448681189158,1.2356773205657503,1.1694833077915516,1.1809720535671846,1.2309404364586713,1.1461832708596555,1.1648455554712644,1.1735580245897999,1.2291750081073203,1.1896028788703068,1.1609038022445732,1.1795509675807132,1.124163681420451,1.1364267905413634,1.1302423200343552,1.1242866575770256,1.1493642965464135,1.1513151825259296,1.1121692650144408,1.1048294164508554
2,2.299157300405757,2.291119095361787,2.272234758920415,2.212274755379802,2.1172813511979567,2.0252421364468236,2.0181407751598415,1.9569033607177282,1.9497791401356548,1.9403734428828359,1.9173105740523597,1.872413462040804,1.8354693721946693,1.8055547183392429,1.8031226227946144,1.7619068248807264,1.7321474799770276,1.6911263023710392,1.6971463852890876,1.6618353623664697,1.6930699612573157,1.6057060564307148,1.598212097330216,1.570502677020404,1.5221547925979282,1.5548276072321967,1.5685630335180507,1.5439550170323026,1.5341904038373606,1.5235081327421376,1.451002493220668,1.4750141156533352,1.4491731029825559,1.4385071260639044,1.3906191608672327,1.4868934001224567,1.445932932588632,1.4489341628775516,1.3951710186655515,1.4109450911202133,1.424693571589703,1.4069114238406972,1.422929256889162,1.3565083098340813,1.416601929301442,1.374712442903679,1.3777784260043286,1.382459647106016,1.3208121722812822,1.3413867034261233,1.4026849717933512,1.356764070829699,1.38902654598304,1.2915570528405829,1.3038543093687938,1.342764061471239,1.2858018326830085,1.3062869154734853,1.3173946751803012,1.2705832103121764,1.2691251119685338,1.2637321977304068,1.2957560966559616,1.2803036659572764,1.2550793234129924,1.1947979054512303,1.2055942604261147,1.2563533564821312,1.233465039883358,1.2617875187852146,1.2049736198402654,1.2462037002297466,1.234141127881617,1.2659116181610364,1.2376456668657554,1.2037374314167615,1.1886135008403502,1.2148887426044301,1.1743107231151457,1.1912641750480961,1.1737678547405466,1.1378439360627082,1.1754133907081348,1.160199102261182,1.156303408119964,1.1590095523792723,1.2024164163276303,1.1645062055833026,1.187030051629456,1.1288875429849596,1.16365479762665,1.1550273664155652,1.1424012034394504,1.1037982659806838,1.097039336030962,1.1123659215742239,1.0723458772597043,1.1043100454922836,1.1166854956501433,1.0394265522588961
3,2.299077385464043,2.290607618615504,2.2734865029076503,2.212514871699315,2.100221054400516,2.0860799056015984,2.0073352458794766,1.9951783884468666,1.9666819371424906,1.9359875409471266,1.9083128765509114,1.9033080662582964,1.8622565688810235,1.8656700590147501,1.7773667531778676,1.8136715776576633,1.7387084202234677,1.7230775527054898,1.7162342645423798,1.6697096660368462,1.685504158842272,1.6446601438824955,1.6092129326471931,1.5850731899602135,1.592886593486651,1.581026903197426,1.6060165574306373,1.5282653901972558,1.5738955897195492,1.473712535414605,1.5064184906692366,1.4951326433140262,1.5100352492855553,1.4479788501805213,1.506839075741288,1.4922911783617838,1.4677183129845808,1.4540126082687517,1.4435958719642619,1.4549940043109606,1.4652306480182915,1.4174593433075782,1.4465838559410946,1.375871316476616,1.4072024331564053,1.4096046545671963,1.3662167102341638,1.3546997956114257,1.4128045460795233,1.3731087485120606,1.3091698385646748,1.358283760757308,1.4016244587634545,1.3438051512105187,1.3256681650633826,1.3242166525433523,1.337008969954545,1.3223520739988532,1.2958552019226475,1.3076887030225393,1.2881136376103377,1.3001581587147302,1.2971002393058506,1.2886087481043929,1.246523552879029,1.264356056182685,1.2470211713614512,1.2504197554164656,1.2537336205744463,1.2801569392220713,1.2788386492975603,1.2677702070471382,1.2916167624301513,1.292684062004954,1.2354790157117523,1.268045949373911,1.2187286877999604,1.2281645618561496,1.246427186488673,1.2146884633104906,1.1995832512622948,1.207760241392625,1.2089108456726627,1.2013001467894124,1.186883584110713,1.1976768037782186,1.1705990559603017,1.1795267904766666,1.1572288905396206,1.2023159092594469,1.154271765503144,1.1370938005819173,1.1377259392362233,1.2081543065587284,1.173156075172822,1.0894760297626553,1.1481742461162163,1.1287635329735894,1.0952832078458175,1.115931514599922
4,2.2985883325059837,2.292304707464771,2.2712697568340836,2.2141641910945142,2.0942712012852462,2.079662166131991,2.041580197075817,1.961225709291262,1.9693145444460005,1.9450419512864585,1.8921433364119484,1.8722610039131664,1.8782852371162344,1.8259589580731972,1.761323221376009,1.742534246622959,1.725257191256942,1.694491113012082,1.7028260300092608,1.6605420792214225,1.6386824612305544,1.643507657764114,1.6837705527510598,1.550991192933555,1.5626946320043547,1.5640317295199242,1.5752376739109788,1.5921474189401787,1.5201604836455016,1.5292799305693012,1.5047029296928478,1.448738825209787,1.494967993174758,1.4653689841243709,1.4623945124795503,1.5131855530159495,1.4544657134564123,1.4725385342802957,1.445342220101401,1.434623900306559,1.4418906929336976,1.4186324075003651,1.4264464427377577,1.4428229394360124,1.3564653915779612,1.4227652939680582,1.3684458944285027,1.3707363837233213,1.3808641865988758,1.365489146085543,1.3587119365406928,1.3248458806599412,1.37050683988589,1.3302113900674837,1.3214960434726466,1.316745166689436,1.2564412462377104,1.3141722211213869,1.3050907063707013,1.293393511415642,1.3392550160951704,1.3310271425781963,1.3001324192385808,1.2596006986136747,1.2855417494461916,1.3276598535965536,1.3285270078159939,1.2278349820698533,1.278133168844419,1.2070532526925346,1.1877680644810757,1.2226542441644401,1.2258926199975415,1.2376405187856372,1.2421215293563415,1.214814414265,1.1954189904382295,1.2261095777850284,1.16753584625565,1.1305129026698175,1.1963658644774249,1.2112127515757196,1.1746334187338285,1.1728624595659916,1.1880348242331888,1.1331636814313515,1.1523614253953238,1.1425463022472702,1.1170385494410435,1.1578711647853672,1.115975806869079,1.083067416253491,1.1536742293946096,1.093385412537049,1.1414314089534439,1.088239437731627,1.146595190284408,1.0918980700947414,1.1202776800806278,1.1006175579311692
5,2.299160733819008,2.290111266076565,2.272599972784519,2.202342852950096,2.104239232838154,2.0505124367773533,2.0333531722426414,1.9937120079994202,1.9712528847157955,1.896154846996069,1.8974835351109505,1.858417335897684,1.8222425617277622,1.801275834441185,1.7566418088972569,1.7564832344651222,1.7158428989350796,1.7319822683930397,1.690471462905407,1.6723240725696087,1.6631334535777569,1.6084173955023289,1.6293875500559807,1.5713827051222324,1.5562868006527424,1.5076818987727165,1.5845325365662575,1.5561539977788925,1.5532897226512432,1.5267126448452473,1.5356963202357292,1.4624038487672806,1.466530054807663,1.4203729629516602,1.485957071185112,1.4454359337687492,1.4439838640391827,1.383962120860815,1.3811719380319118,1.457666203379631,1.40878439322114,1.4185004122555256,1.3894152976572514,1.3429360799491405,1.3893828354775906,1.3331050835549831,1.4012816846370697,1.355646751821041,1.3823471181094646,1.3746674172580242,1.346747886389494,1.3581337444484234,1.3590040765702724,1.3561621829867363,1.3194463457912207,1.2821111362427473,1.3008829392492771,1.2430853359401226,1.3008948899805546,1.2903724983334541,1.269489685073495,1.3083462417125702,1.2840601541101933,1.3006885517388582,1.2521013636142015,1.2765638213604689,1.2777455896139145,1.1963375341147184,1.2436995413154364,1.2031201720237732,1.2591063398867846,1.2025822028517723,1.1642653979361057,1.2845823746174574,1.1879385653883219,1.1960894856601954,1.2221130263060331,1.203104430809617,1.2024467326700687,1.2410212457180023,1.1701508834958076,1.1893982850015163,1.2309270445257425,1.1792777255177498,1.1929721292108297,1.173621665686369,1.2265859860926867,1.1582096070051193,1.172323951497674,1.1927372850477695,1.1470559611916542,1.148702435195446,1.1453537214547396,1.1596772447228432,1.1484375353902578,1.1038107071071863,1.1154660936444998,1.112057313323021,1.159400662407279,1.134154349565506
6,2.2993570229117677,2.2918524612902305,2.2724955822824895,2.2101346920930056,2.086722460327217,2.0497560335260956,2.0114773560345656,1.9474490767895045,1.9440138482142917,1.900925189714337,1.90684194616509,1.8911889809795404,1.8441728552720948,1.7799217346668674,1.7672084126261407,1.7716776004436323,1.7324095937510062,1.72066415928459,1.6419596089472508,1.677235076205625,1.6098438201988723,1.5538274873562945,1.616752193549138,1.612891781620863,1.5433703070841291,1.5420347722457568,1.5645079231520655,1.5225435954122362,1.490909289430689,1.4818289247631704,1.4575526165122261,1.5021999353961892,1.4578605349686302,1.470184694999171,1.4480715943761204,1.4451679886195072,1.459586755800807,1.4546095231899616,1.3580807551889669,1.4120162236550529,1.4392249575583054,1.3639818073503585,1.398056995793302,1.326950279354726,1.3461921170905784,1.369048108145689,1.3390927050925636,1.3373541768435002,1.3200938121197776,1.3011512208221836,1.3213746581081882,1.2802892964276087,1.3515836043517226,1.3234362427781268,1.3206696052646034,1.2803262593838796,1.2764427614513558,1.295770031111458,1.2831057757004598,1.2762290317945473,1.2709586677404816,1.279963177609465,1.2545809088899083,1.2700733887578521,1.2298316245910383,1.2780352763044156,1.2510955824761534,1.2539685321694145,1.1997731073331273,1.2146999900580098,1.2018968524863942,1.177698600313743,1.2463450711809414,1.2190647034248794,1.235756038973325,1.218783229347167,1.1878456497580054,1.2440497487541136,1.1814363961189636,1.19308504761073,1.1649780661109987,1.1537008273676912,1.135634158361895,1.1047869195998414,1.1281741763302735,1.2007499630642884,1.1645907666517359,1.1166853897724478,1.1249021101127148,1.1572839437353795,1.097793023114605,1.1517212292904668,1.1192727301071221,1.1051732314634453,1.089176780701545,1.1328110853184852,1.0294055997948444,1.1376420293397052,1.136105344547489,1.082596579972106
7,2.3001313222890474,2.2921709952011606,2.271493036206029,2.2068172373802835,2.112481850869849,2.0539179491618325,2.0183935966812263,1.9573098857418385,1.9571218427155865,1.9299782503441492,1.8749832795336356,1.8666125059573033,1.8501210798179848,1.827427234970221,1.7650967865319702,1.7650112284331763,1.7351422742857876,1.7312814048469678,1.681216074082475,1.6700853713754178,1.5991915424330896,1.60071128823844,1.6515577930250978,1.600415243488066,1.6060671304343017,1.5478974769985865,1.5323779930253656,1.5366654135599858,1.528665805508554,1.5102961855887476,1.4853926949363017,1.4847280993626342,1.4666893267386656,1.4882781304119905,1.4311194964149754,1.4682387612224403,1.500268203537671,1.4059133630952025,1.4522070318154372,1.414281656094292,1.3967441668808738,1.412809288134428,1.3381349019754947,1.40289796845697,1.36596292752623,1.410695354255085,1.396628134390887,1.3783544701577124,1.345799322555713,1.3549121545921632,1.3388034895577239,1.346227442517,1.3122655033063488,1.3028468368879331,1.3414472197952056,1.3572595652634578,1.275142824839032,1.2917564411679792,1.242639302873478,1.3228492262650604,1.33191158858334,1.2685038102886368,1.2843174997831928,1.2885985747327546,1.2658709110666055,1.322002772857495,1.278095298677154,1.2445686603683273,1.212059434388532,1.2962396452072955,1.2879012500315932,1.2394133099432196,1.230110387118702,1.2390347350767903,1.2173686141059512,1.2435823917722835,1.1597603743149787,1.1966486769675317,1.1873364870399097,1.1843038766212712,1.2013312692847016,1.1422626864231156,1.2419993919707368,1.1629472068266598,1.1756405411870763,1.1427309877064382,1.1309355321495917,1.1895072399512503,1.1630909912615153,1.1471412349927104,1.129310852561901,1.1688357055131573,1.135138384323049,1.1172179561369227,1.096340013707942,1.1118265322499137,1.0974541557491884,1.1505672996228928,1.1421096009923186,1.115158463615218
8,2.2990448844048283,2.2917895380802418,2.272223926139867,2.2163458547284525,2.1068847788094374,2.0635599079219977,2.0067227667927194,1.9675619074825867,1.983206839715281,1.9633555278250698,1.9190176406763666,1.9255990579930318,1.9029336139353739,1.824991699078116,1.8051629028012675,1.7894397890512845,1.7751883227704308,1.7187477054683844,1.6922206367765154,1.6700511712632422,1.656875379184424,1.6229897215619065,1.622314291286029,1.6412581514103621,1.5667613708478514,1.5783167885195823,1.5601603233319823,1.5568758428371448,1.517780798261616,1.5280088549934774,1.5132594293163668,1.4738167386999876,1.4654402820745371,1.5304150378099783,1.435465021506982,1.478177813560732,1.430694514815159,1.462585890238186,1.4441486708030173,1.4759970274938417,1.4346455418019801,1.4296715844062067,1.4602274740895917,1.404312194327605,1.4224818297794888,1.3842366979968164,1.3981982379465059,1.3830230199796263,1.3408518649466026,1.388973275637297,1.3777849898360293,1.3697583328194332,1.3320112312993695,1.3424867252051007,1.3484832436258343,1.3737388087857154,1.3786062502091931,1.3062779760580459,1.253521338805625,1.3017267778721822,1.289608758166089,1.3440092651525402,1.2952804602785595,1.280404912931029,1.2702032769330636,1.282912843458114,1.2443133742029215,1.24491781650051,1.2639506043377011,1.2471949599305605,1.2743724617540562,1.2191710402888636,1.2473751240611626,1.2704416387092132,1.2198442320669851,1.1998633871430076,1.2479258008816274,1.189175967796607,1.200395370518557,1.2149625776000836,1.1695820727106614,1.2471737950078903,1.1601147323160128,1.2185816550584432,1.1653212523130778,1.14381924345746,1.1354548805869669,1.1620120222118044,1.1266426554473314,1.1361757656396259,1.1695175414810532,1.1391534265834615,1.098317175966254,1.1395875010072911,1.1581053162500057,1.0942357419273272,1.0413828764642987,1.1089210842062251,1.0967592815100322,1.1379446766892887
9,2.303085183019692,2.2927406247277267,2.2725724657601107,2.2201122550641075,2.1071155915377053,2.0548099519618264,1.9710977896907684,1.965984589635989,1.9077164922505898,1.9218481675828694,1.8549264981472784,1.8526323360238373,1.8180105109223763,1.7756551984564284,1.766691341687506,1.7549376097102622,1.6673984356968192,1.6799730610263774,1.641530625115231,1.6254876200986672,1.6484089048119812,1.6041076160869132,1.5943717442438876,1.5551745743401306,1.559350371697528,1.5384171004573728,1.5498335891299777,1.5159915508299,1.458308667898627,1.45536618829896,1.4840625773715435,1.428061757384047,1.477078608200375,1.4735109601766152,1.3984943832605796,1.4829219671741494,1.405301655304185,1.4742115659677826,1.4052796314440654,1.3788492223861752,1.42078250747616,1.393321840776562,1.3384276038060305,1.3570870491070937,1.3787449284012934,1.4139066665186046,1.318114021066892,1.3363754666233243,1.3185498159933,1.365361948471285,1.371679526039885,1.284714821592787,1.3556160711299228,1.3037074439494174,1.2366036578535808,1.2492614331218483,1.241102060355709,1.2675179265537728,1.2702059626803783,1.2970096056968703,1.2260168312633104,1.292138874194043,1.2309047740282537,1.2476265093701033,1.245308397179943,1.2057021272609014,1.2488372637951666,1.2053933850789473,1.2106186719488514,1.2086687599871793,1.1909808573749778,1.1403129491428872,1.2135435845667808,1.1363088561541168,1.2146780359542977,1.1756972334928206,1.139675693996882,1.1703436793356068,1.1359178737058477,1.1253085069063693,1.119178292329253,1.1204642668057745,1.1551979055063424,1.1228356839573317,1.1476174925231215,1.1253010382535542,1.1784019490419808,1.0864574688078095,1.109280581528184,1.1264050226876066,1.1171839383137878,1.0976311344435885,1.1360578020638217,1.1096602374101987,1.09804731686012,1.0839221012794364,1.0435206136910031,1.0793284465139643,1.1077275026989521,1.1330560461500494
