Client,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75,Round 76,Round 77,Round 78,Round 79,Round 80,Round 81,Round 82,Round 83,Round 84,Round 85,Round 86,Round 87,Round 88,Round 89,Round 90,Round 91,Round 92,Round 93,Round 94,Round 95,Round 96,Round 97,Round 98,Round 99,Round 100
0,2.303420851659724,2.3016062234791197,2.3002713165851953,2.297614167419612,2.2952480935694943,2.2859588306678877,2.2700988695390434,2.2397765092575512,2.2019825380323286,2.163107651871995,2.1001753644567454,2.076823022799751,2.047756581514661,2.0082864035178805,1.9881751429412566,1.9445754841874583,1.9360222943420735,1.9401209334088083,1.8832532370560213,1.8806064941377811,1.84386938258101,1.8134357787041873,1.8353076933291013,1.7228786563213132,1.7311709362604875,1.7903571218982164,1.674852088744394,1.6797773379741259,1.6762498327718376,1.696408748626709,1.6383927195978623,1.6763872748619706,1.628715637392891,1.6148995239767658,1.6467364573250183,1.5865263787829202,1.5958405187208686,1.6061099526473381,1.5987605177683317,1.5361329298049877,1.54203050903365,1.5726826209991505,1.528557205479493,1.5361481223243494,1.5328421319762484,1.5145497796888423,1.5357718970448064,1.525723888470342,1.5044150389294528,1.5159801465634721,1.4735829676556003,1.508246095670552,1.4500569936693413,1.447234908485819,1.4990775013884035,1.44181364057417,1.4638597082914,1.4411920323031653,1.4116524643283554,1.4107588717477897,1.4053754152708287,1.4573290445807134,1.428058374804049,1.4325956131576603,1.3828959292370164,1.3985343075915775,1.3629781295951056,1.41269684993167,1.3623149816474467,1.403446883439256,1.3806894259711804,1.3906477970310167,1.3364679706744111,1.3609128578529317,1.3629049399155524,1.3262309297459067,1.3721509579017648,1.3558196149314174,1.3639951972280955,1.3554689058988365,1.3085809090393927,1.3257384929921046,1.270750162827448,1.2817755805544706,1.3284963698178942,1.3226675593687958,1.335125093642896,1.327728136025044,1.2645157856174425,1.322266171407649,1.2944035289513545,1.2780603967662563,1.2453492724984345,1.2633358279483133,1.215216598063866,1.2576884892040168,1.2766959869061796,1.2450030060748831,1.2423255116033096,1.1475702658755838
1,2.3031396943854894,2.300696206726667,2.2991266489516495,2.297683172674511,2.2911565674350793,2.2852757333002693,2.2677492758979096,2.2409151000235465,2.2123278767053334,2.159489771096009,2.1093821627962077,2.0774078052224314,2.0212840678014152,2.0034928614376515,2.005758614140298,1.956967737289538,1.9558625274884434,1.9041556183302086,1.8991269065802328,1.86691860723593,1.8192653256203744,1.7999205443025366,1.8321840614385156,1.7515438397725422,1.7447232712509686,1.7660024619541286,1.663209025601424,1.700386851111804,1.665553308459635,1.652473224452668,1.6518296166675466,1.608452527800952,1.616457895267229,1.5988431459555597,1.638850490008395,1.5554069246494941,1.5811604624633164,1.5323156062323136,1.5594576599651564,1.5619208269080258,1.5457860453240955,1.5413318531157292,1.540701408083941,1.4877570999180612,1.5250885998544517,1.5876020466135567,1.5392660017150068,1.5199513864419698,1.4732947103328744,1.4871624337627356,1.4821590811684575,1.4446143531116726,1.4323081199864425,1.5002713366763967,1.4838647476734559,1.4123806780345114,1.4408604876882947,1.4052577701326772,1.4336064483490458,1.4301283505796656,1.4236450219690677,1.4348940576268607,1.4683554703960147,1.4345601838546784,1.3723029027443479,1.4465403132643437,1.3857218334279908,1.3471409799131149,1.3498168910695487,1.3825440972373042,1.396320210156509,1.3083616331798655,1.3506604757289458,1.3702648605061942,1.3032195748483233,1.3369798616397601,1.33043045390603,1.3478744646766678,1.3305558156382087,1.309848560633591,1.328438912432618,1.328651190047859,1.313703678380736,1.2980995794990555,1.262446933485004,1.3348034205856012,1.2762285366136359,1.2878196951314227,1.2972801806736578,1.2656214788159954,1.2669043097271753,1.3040711533560099,1.3166391052351407,1.24856357974265,1.286500655800287,1.209937588081282,1.2348407636147092,1.2180471566557154,1.2302990069418598,1.1485656536429938
2,2.299896437071179,2.3001126367118214,2.2973706422083393,2.296616698689259,2.291861746948447,2.285554835670873,2.268772414840289,2.2376474664922346,2.1958247353048885,2.1546343106111383,2.0863446810420205,2.0599217820831868,2.0362859033086598,2.0193815819373193,1.9978443501042384,1.9481074194913064,1.9245084938742183,1.9400110552308483,1.9006006926820989,1.8080157036628763,1.8571778720377399,1.8078321747489512,1.840504388445056,1.7650193171604498,1.723230566894799,1.749413481806823,1.7110673911308234,1.7007055927233308,1.6831541447693597,1.6686997954936464,1.6537363115848034,1.6259628432207924,1.6128427599728785,1.629470293735941,1.5773538082868814,1.6459174480969692,1.6044357251087578,1.5673585297276484,1.6033265588207264,1.569489090927368,1.520595851574397,1.5082379616450967,1.5529399725182753,1.5203067053213208,1.4835974648517967,1.514687788621806,1.5298486724111442,1.5161974620769882,1.5272637571220673,1.491521633692447,1.4674334781949858,1.4301934360350617,1.5282203417936469,1.4338149534167397,1.4667429264607936,1.4188123364443626,1.457851392688889,1.4019701803185745,1.4582733416581917,1.4416129908940618,1.4731323449604283,1.3991288548283534,1.4298145774717301,1.4385687005778216,1.377253717805333,1.4609556151371377,1.4528019834229082,1.3940795845783656,1.3515606397691773,1.4027711538092393,1.3717850184662055,1.405698766772346,1.3436259949047376,1.3624134592719614,1.2894198021037413,1.345227176559968,1.316267543901969,1.366469748248995,1.3202231812403298,1.315374815550136,1.3052314700726015,1.352154351363364,1.336042792312378,1.3401187607255391,1.3352818789250833,1.288772936821968,1.2972192551452433,1.3077711397157241,1.261428763007724,1.3026122196786052,1.3103969933693869,1.2438651263652325,1.2566503288822155,1.2403574153488757,1.2682621064446904,1.215938739855346,1.2738311645047213,1.225826409640573,1.203381899586649,1.2268087488701962
3,2.3006605184995212,2.2997743755217024,2.2968720212156475,2.2970678786999783,2.2918617204133316,2.2846443517970654,2.2718599238376385,2.2521071627072478,2.1905866142226618,2.151375359369193,2.1408343652964605,2.0655092102313333,2.044977362821942,2.0162747639876146,1.9751748807034513,1.9754456074131646,1.9013242094140304,1.9188392490510515,1.8655695065795652,1.866858037377176,1.838960570845044,1.7892276010049981,1.8380723824867835,1.7470330728693046,1.697971291387612,1.6981622154413447,1.6641510734673937,1.6385433751079235,1.6657166341055742,1.6533323579471604,1.6163616807837236,1.604714160988688,1.6161057823582698,1.640929161295717,1.5718483553241622,1.6064713551447942,1.573717231692573,1.5669518704356453,1.5583758498975622,1.514588267214385,1.5742521643155982,1.5823824555285064,1.4855643390161306,1.506954539160014,1.5133948200627376,1.518765778676701,1.5286732574223507,1.4561593624261708,1.4908003411312334,1.471447537785117,1.4788277511171966,1.4428207690899189,1.4488034648933874,1.484340014245346,1.4500436305034499,1.4192431513597126,1.458990472531029,1.3842387720640854,1.3816556307950967,1.3828397197762,1.3817644066173538,1.3902701327675266,1.423615331591865,1.3712616792091956,1.408286994285429,1.4451761641483076,1.3642161775697097,1.3702912653988673,1.3239974821144753,1.3808075006191547,1.4147691480543931,1.2953239780688575,1.351855548769839,1.3429587041800803,1.3221645157346842,1.3159921458858228,1.328686451622349,1.3104592887496176,1.2736469772663193,1.328932567646629,1.289057343594941,1.285088729279244,1.2987536442907233,1.228254708683925,1.2673401369257011,1.276795830803844,1.2973775665769693,1.301858896427309,1.2484767880999608,1.2721674775305065,1.2644649420672582,1.2580696469859074,1.237076708662365,1.24829678545114,1.1926731146298921,1.1816016464580892,1.2367190663148517,1.1956489810094177,1.2007866279798964,1.1760025743530829
4,2.3009954682596914,2.299622524034727,2.2990409527625237,2.295894964353426,2.294250437548825,2.285046761328881,2.269895610990343,2.245146844294164,2.205452818256039,2.156118937662908,2.1201256281369694,2.0633766100956845,2.016704636496621,1.997085962857638,2.02318054550773,1.9818492524035565,1.9210574967520577,1.9692075626476184,1.9110265266407025,1.909164037142362,1.831826787371259,1.840266699081177,1.8532234150451141,1.7626396435481329,1.7426533432273599,1.7613599648127904,1.7094909825644173,1.72448897730935,1.6597761719615072,1.7018595968450343,1.6339030694532823,1.6685530354569365,1.6152390897809923,1.6292483095641617,1.628139876223706,1.609541136663515,1.5540265446299917,1.6171780485254186,1.596362903877929,1.58196283101321,1.5467896300715047,1.5629047522178063,1.5528518377126872,1.5636943618019858,1.5214971812454972,1.5223966791675045,1.5233575839262743,1.5327494169448639,1.5218123756088577,1.5100685796299418,1.5185285761401608,1.5062431786562893,1.4791241569833442,1.4952591363485757,1.5052665632802409,1.4449602133267885,1.452140865030584,1.4432808373953316,1.4131233792204958,1.4200124619128582,1.4419988182993917,1.4282063059992605,1.4765425152354665,1.4041945228090773,1.423766969205378,1.4405811553473,1.394707669506778,1.3863429417024244,1.371279007785923,1.4316832513123245,1.3942777213754949,1.3705158476586585,1.3472615625713016,1.3615664766504094,1.3352489489299078,1.3484561866099065,1.3595094258015925,1.3481303794043404,1.3299266394082603,1.329496512046227,1.2968793327396329,1.3108793710257027,1.3329011809218536,1.3318530629564833,1.3655150494018158,1.2591518155344716,1.3451984427072905,1.311144613243126,1.2932135771799993,1.2643191309480162,1.2647353155867798,1.2364147332283881,1.3246202389081636,1.2796604399914508,1.2243765574711543,1.2092079956691106,1.2856389512787094,1.239841236696615,1.204351879500009,1.2348110416195133
5,2.3034095995204966,2.301166983732243,2.299547017480909,2.2975896412564305,2.292911983273693,2.289165324771527,2.2755570072488687,2.2485989786914944,2.2053634122474906,2.160020139045322,2.106164337925075,2.09415469513726,2.0310282972670093,2.019402584832968,2.003224186061584,2.005279816548849,1.935358350793111,1.924182148569638,1.8997328728744665,1.8738482976697155,1.847263131190821,1.8299706685174373,1.8620966424647065,1.757745049171841,1.7908604398216168,1.7824075204809917,1.698951285155778,1.6746727065941722,1.7133667186363457,1.635331549103727,1.6525409656701628,1.6214797718008769,1.6241968233560777,1.6037271553708106,1.6109624570178003,1.5797101603340857,1.619215382251543,1.5987879804729186,1.6134026163632107,1.5076065888109895,1.5510851260313054,1.5633884080906504,1.5492202031243707,1.5117721574822651,1.535312166410623,1.5048176974365393,1.5255548595153179,1.5405704562197027,1.459459265974379,1.5227829574309673,1.4752787752249805,1.4852651446136003,1.4527697863038054,1.4742060690811,1.455669500901527,1.4331392738008009,1.4849220290626448,1.4395905428326008,1.4223576363828994,1.4460341524832028,1.3963362922373506,1.4638078805097599,1.5050064440855047,1.4394485220466693,1.429075807640233,1.4342576339072788,1.4453773321564665,1.4120342141574191,1.341871342708155,1.427189488755059,1.3934468991977653,1.3461286362913465,1.3610265901408245,1.4104822016253913,1.35884561194587,1.3727765916549053,1.3883621151914303,1.3474402614475525,1.330511182116479,1.346796260420809,1.283436987080525,1.343354862006669,1.3293081519529992,1.2616881306638423,1.315346497358735,1.304201410234589,1.3783910670231299,1.3250423387153862,1.3126500070709544,1.3085173778927204,1.2655273651339345,1.279325134238017,1.2526323198043194,1.2757749577158506,1.305526390763902,1.1933811912831571,1.2656609680234772,1.237946359644231,1.205982800242827,1.199827992055834
6,2.3015778647528755,2.3019642920721144,2.2989977415276583,2.29746349955362,2.294253349556494,2.2884795827209636,2.2730400173752394,2.2449925450420882,2.20680371617514,2.1669553708777856,2.126766730490185,2.0820933566522344,2.043314497054569,2.0124423076236058,2.014706074119245,1.990535798653093,1.9342942100353342,1.955785299230505,1.9484152516360005,1.8667404868615367,1.8585019472414854,1.8266762705707045,1.8589486823510872,1.7626377814661258,1.7568934137859042,1.7994029317583358,1.740498636134718,1.715112933658418,1.6504292310230315,1.6700068145832687,1.6354037395860783,1.6193016577019264,1.6346779019744309,1.5980251897579778,1.5686947687593087,1.5825064569554002,1.6098071884225915,1.5804472372014686,1.5834342885900428,1.554415978073443,1.5718726455849945,1.5501656471736847,1.5815081706122747,1.5401376212084734,1.5639298251066258,1.516593080853659,1.542250459787076,1.4983650463598746,1.5086806962099024,1.4720777907699505,1.442388003843802,1.4981873844035718,1.4817329140567275,1.4667246679780344,1.436937602613338,1.4968791790109464,1.5164495744402446,1.4690986344423245,1.4754962576760187,1.4312454861938637,1.4244344023800402,1.415703640413032,1.4846691468405344,1.414048357236953,1.403411722940112,1.4545293348806876,1.4390081548186207,1.4108121608300184,1.367979407688928,1.4185694829496758,1.3978049150850407,1.3738616451384529,1.3455537061842662,1.3399709217132083,1.3480068770665972,1.3018414962859381,1.3463981598142594,1.3929742862307837,1.330919555886082,1.3351642202447962,1.362316682855919,1.3179644922730784,1.2664430287779955,1.2698023934843679,1.3221730744397198,1.2964676262209656,1.330193432298287,1.2702229487202155,1.315631007391309,1.3043380262990478,1.2500533394081883,1.2860580384415925,1.2626228734929725,1.2483332070093307,1.317831836427961,1.2756861648862323,1.230061473922124,1.2376125634031951,1.2194418117482826,1.231883242647484
7,2.3022616585136815,2.300902754962136,2.299064501364944,2.295732588901145,2.293126745085928,2.2862552523982806,2.2727699869051343,2.243762461327964,2.1988157962199453,2.153620868089157,2.1078034527176044,2.07286998195017,2.013778065944778,2.009896989445652,2.051958656360346,1.9727105518654682,1.951035452234215,1.9497156310845802,1.8806474928772068,1.8676787212937915,1.8358063081427716,1.8179002954646746,1.8737360867743902,1.7424078674326269,1.7399008190249707,1.8087410840524636,1.7383388691382422,1.6892240091834714,1.6642129200567504,1.6834367288058891,1.6399069043201893,1.6157631793954133,1.625269033176576,1.6232264024641792,1.5797929465462528,1.5616290972422666,1.6096226069402053,1.5868958722965671,1.5753843688175868,1.5748454080865697,1.5859522676517206,1.5851278105344249,1.5405647207317332,1.5296384406804793,1.5302568870098663,1.5084229739770032,1.5062274684457275,1.4622016361112309,1.4786985676192448,1.5150189382460395,1.4856876166924573,1.4566579386514862,1.4708926378756053,1.4387228278117687,1.4958305723787957,1.4480276049847687,1.4739218844253004,1.4562675385835129,1.415827289793829,1.4367749114071078,1.3961880003653984,1.457663258820803,1.4378711854289705,1.4123824691821771,1.3793904886127382,1.4581875675343432,1.4300766520071178,1.3738657623190422,1.386516497201732,1.4087681272283827,1.3767607413008887,1.3853922382135795,1.3228429669308195,1.3630469487642922,1.3026619658968195,1.3321791707298256,1.3383229771222545,1.354474245330787,1.3624229339927034,1.320787431412177,1.3420154863454195,1.3062666786493657,1.3158333071015367,1.2760764122502388,1.3240581833465639,1.2987161919150998,1.316803757382524,1.2744689896286705,1.2968141037774308,1.2829397592574143,1.289778432530479,1.2563664219125474,1.2617231837965956,1.259510890527743,1.279328094088427,1.248191752995922,1.2553937445012342,1.2364468668831172,1.2419854968385589,1.2335757200202626
8,2.3023901129343423,2.3027503944827328,2.3022797969450433,2.3017569912224194,2.3045238359603797,2.3038196383535796,2.306915113724858,2.329661130121739,2.3701347999217606,2.392551298862219,2.4392955705343957,2.5314477027964095,2.5594700461280047,2.5959890901977105,2.6923035789293372,2.634997587997838,2.7088097766090717,2.69667700974338,2.742201378154859,2.7726898120240864,2.8076569237557587,2.788037224379975,2.8414098699408843,2.9368933505844836,2.9438325369083866,2.9681937754611196,3.066124771928735,3.019655416463578,3.0568883567885266,3.0724462042241343,3.1206737188754965,3.143683675346082,3.2178504234598084,3.2078670624965904,3.227157364539223,3.2044079063494912,3.2485616779014026,3.225453555126963,3.2175354529314992,3.258552927307597,3.321963623606754,3.2655946171688486,3.2541155681944365,3.3779669134405332,3.318994629944533,3.3801006719812765,3.3922509112990045,3.372968761970545,3.344106670016135,3.4312093670501373,3.4023117444601403,3.34821427691022,3.3479240885961223,3.4292843952889247,3.5221798239767486,3.4117739438227206,3.3777461511543,3.4251723284266995,3.554898353160929,3.5142340623535957,3.53020386314601,3.382669229235863,3.445660612538767,3.533557278172471,3.6011932384536927,3.331690309081647,3.516177018918709,3.6141629754387146,3.6261824052148426,3.563807703187406,3.5752924034394415,3.570961594451035,3.5431977707611115,3.5225274515830933,3.6569326670773057,3.5885889650305156,3.6112720287381492,3.6504858608183177,3.5913594555097497,3.6121970105667365,3.6134160115972147,3.6661033358788044,3.538587200419665,3.4934086781341955,3.7014618316850942,3.7247817349198877,3.5894403431527846,3.6483259605813,3.653936844404791,3.837143385919527,3.675938843636236,3.791238044726235,3.60225007776885,3.8442233723852484,3.803230685184976,3.7076265984270944,3.6311492321916896,3.9413539598178757,3.7304977835334534,3.8593518841044667
9,2.2986278956053687,2.296689891294052,2.2943700610614215,2.2902669523583086,2.2876579143961924,2.276272328955228,2.2633721127536126,2.2349152202814655,2.195179089040704,2.144200058191852,2.1075708777526687,2.03344359814795,2.038862265394034,2.002599280128062,1.98633405276335,1.9451235613536313,1.9028906605934184,1.8941685900662115,1.8723038088428519,1.8177782105617837,1.8215426416344982,1.7647993100796893,1.8416963703645384,1.7085242231035493,1.6805342489252977,1.7432404141608484,1.653854813862368,1.626562720048623,1.609799797938821,1.6235137516032152,1.5517297475064387,1.565004228763893,1.6176444435380195,1.5311640258695258,1.5100949071144145,1.5628012683222203,1.5267685021207633,1.5349897022455767,1.5080521745108515,1.5498856402485748,1.4545217670378139,1.4956138603022842,1.4802181509674572,1.459376960373967,1.4771264701593119,1.4372947811428967,1.439659728378546,1.4309113010031278,1.4328918558652284,1.3992156762242969,1.3888676898727,1.4207680695695304,1.407579931535356,1.3885950795939712,1.41251976229454,1.3943694420850994,1.400347226434718,1.4013753966555569,1.3919140405342227,1.3751467058567401,1.354111218973587,1.3941801766880224,1.419289471412617,1.300126068644185,1.325875451265137,1.3630445017840693,1.351328407480417,1.3517100554346386,1.3444276545217129,1.3043296251140657,1.3187524885427757,1.322631728714281,1.3376028855641684,1.342587110253631,1.2789125499829568,1.2469738648888844,1.2389719065421265,1.285629472967054,1.2769492996194975,1.274983776462534,1.2123082713351223,1.2313855519060228,1.2557705152230185,1.2355375640379276,1.2327770402522686,1.2300728860448618,1.305150063832601,1.2217742328435346,1.2336152793279762,1.258198394019747,1.2127325160907265,1.181363622086947,1.1475490936164647,1.2097337351470696,1.2203601928356567,1.1992142761339908,1.2278253854949617,1.158704210500248,1.2304723112960982,1.1904602784928078
