Client,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75,Round 76,Round 77,Round 78,Round 79,Round 80,Round 81,Round 82,Round 83,Round 84,Round 85,Round 86,Round 87,Round 88,Round 89,Round 90,Round 91,Round 92,Round 93,Round 94,Round 95,Round 96,Round 97,Round 98,Round 99,Round 100,Round 101,Round 102,Round 103,Round 104,Round 105,Round 106,Round 107,Round 108,Round 109,Round 110,Round 111,Round 112,Round 113,Round 114,Round 115,Round 116,Round 117,Round 118,Round 119,Round 120,Round 121,Round 122,Round 123,Round 124,Round 125,Round 126,Round 127,Round 128,Round 129,Round 130,Round 131,Round 132,Round 133,Round 134,Round 135,Round 136,Round 137,Round 138,Round 139,Round 140,Round 141,Round 142,Round 143,Round 144,Round 145,Round 146,Round 147,Round 148,Round 149,Round 150,Round 151,Round 152,Round 153,Round 154,Round 155,Round 156,Round 157,Round 158,Round 159,Round 160,Round 161,Round 162,Round 163,Round 164,Round 165,Round 166,Round 167,Round 168,Round 169,Round 170,Round 171,Round 172,Round 173,Round 174,Round 175,Round 176,Round 177,Round 178,Round 179,Round 180,Round 181,Round 182,Round 183,Round 184,Round 185,Round 186,Round 187,Round 188,Round 189,Round 190,Round 191,Round 192,Round 193,Round 194,Round 195,Round 196,Round 197,Round 198,Round 199,Round 200
0,0.09331919406,0.09650053022,0.1420996819,0.178154825,0.2089077413,0.2258748674,0.2523860021,0.2608695652,0.2788971368,0.2714740191,0.2651113468,0.2948038176,0.2979851538,0.3032873807,0.3160127253,0.34252386,0.3319194062,0.3372216331,0.3467656416,0.3520678685,0.3934252386,0.3976670201,0.4114528102,0.3881230117,0.3838812301,0.408271474,0.3966065748,0.4019088017,0.4570519618,0.4262990456,0.4485683987,0.4485683987,0.4697773065,0.4337221633,0.4612937434,0.4697773065,0.4623541888,0.4528101803,0.4772004242,0.4443266172,0.4506892895,0.4665959703,0.4909862142,0.4772004242,0.4962884411,0.5015906681,0.4772004242,0.4846235419,0.5090137858,0.5227995758,0.5143160127,0.4867444327,0.5143160127,0.5291622481,0.5090137858,0.5153764581,0.4952279958,0.506892895,0.5174973489,0.5090137858,0.512195122,0.5249204666,0.5408271474,0.5015906681,0.5217391304,0.558854719,0.5577942736,0.5514316013,0.5164369035,0.5015906681,0.5344644751,0.5641569459,0.5185577943,0.5270413574,0.539766702,0.5705196182,0.5609756098,0.5493107105,0.5662778367,0.5503711559,0.5514316013,0.5567338282,0.5567338282,0.5832449629,0.5641569459,0.5970307529,0.5694591729,0.5715800636,0.5630965005,0.525980912,0.6002120891,0.5874867444,0.586426299,0.5885471898,0.5970307529,0.5662778367,0.586426299,0.5959703075,0.5790031813,0.5832449629,0.6023329799,0.6097560976,0.6203605514,0.6097560976,0.5832449629,0.5980911983,0.6235418876,0.6097560976,0.619300106,0.6182396607,0.6044538706,0.6150583245,0.6033934252,0.6139978791,0.6224814422,0.624602333,0.6203605514,0.6023329799,0.6203605514,0.6373276776,0.6235418876,0.6203605514,0.6330858961,0.624602333,0.6320254507,0.638388123,0.6214209968,0.6097560976,0.6171792153,0.638388123,0.6256627784,0.6468716861,0.6627783669,0.65747614,0.6553552492,0.6511134677,0.6532343584,0.638388123,0.6659597031,0.6458112407,0.6458112407,0.6967126193,0.65747614,0.6553552492,0.6839872747,0.6617179215,0.6500530223,0.6511134677,0.6776246023,0.6511134677,0.6765641569,0.6786850477,0.6882290562,0.6702014846,0.690349947,0.67126193,0.6786850477,0.690349947,0.7030752916,0.6553552492,0.6988335101,0.6839872747,0.6945917285,0.6935312831,0.7104984093,0.6818663839,0.7104984093,0.6871686108,0.690349947,0.6702014846,0.6977730647,0.6945917285,0.704135737,0.7136797455,0.7051961824,0.7158006363,0.7423117709,0.7147401909,0.7094379639,0.7211028632,0.6988335101,0.7158006363,0.7211028632,0.7094379639,0.7391304348,0.737009544,0.7433722163,0.704135737,0.704135737,0.7433722163,0.7253446448,0.7338282078,0.7168610817,0.7295864263,0.7274655355,0.7104984093,0.7200424178,0.7550371156,0.7253446448,0.7465535525
1,0.1074380165,0.1342975207,0.1652892562,0.1952479339,0.2272727273,0.2592975207,0.2417355372,0.2665289256,0.2851239669,0.2892561983,0.2727272727,0.3119834711,0.326446281,0.3181818182,0.3243801653,0.3502066116,0.3119834711,0.3853305785,0.395661157,0.3791322314,0.3615702479,0.3894628099,0.4173553719,0.4008264463,0.4359504132,0.4194214876,0.4204545455,0.430785124,0.4059917355,0.4338842975,0.4411157025,0.4287190083,0.4690082645,0.4245867769,0.444214876,0.4535123967,0.4411157025,0.4710743802,0.4400826446,0.4814049587,0.507231405,0.4607438017,0.4907024793,0.4803719008,0.4803719008,0.4659090909,0.458677686,0.4783057851,0.4690082645,0.4659090909,0.5020661157,0.4958677686,0.4958677686,0.5175619835,0.5382231405,0.5010330579,0.507231405,0.5061983471,0.5020661157,0.5495867769,0.5237603306,0.5578512397,0.5516528926,0.5475206612,0.5320247934,0.5154958678,0.5247933884,0.5330578512,0.5392561983,0.520661157,0.5402892562,0.5619834711,0.541322314,0.5578512397,0.5661157025,0.5537190083,0.5371900826,0.5671487603,0.5630165289,0.5609504132,0.5671487603,0.5599173554,0.5588842975,0.576446281,0.5898760331,0.6033057851,0.5981404959,0.5878099174,0.6012396694,0.5785123967,0.6033057851,0.6002066116,0.5919421488,0.5867768595,0.6012396694,0.597107438,0.6012396694,0.5950413223,0.5888429752,0.6167355372,0.6053719008,0.5981404959,0.6198347107,0.5981404959,0.6053719008,0.604338843,0.5909090909,0.6074380165,0.6188016529,0.6415289256,0.6074380165,0.6053719008,0.6136363636,0.6002066116,0.6291322314,0.6146694215,0.6332644628,0.6115702479,0.632231405,0.6373966942,0.6301652893,0.6353305785,0.632231405,0.632231405,0.6384297521,0.6549586777,0.6466942149,0.6580578512,0.6673553719,0.6621900826,0.6745867769,0.6373966942,0.6425619835,0.6580578512,0.6559917355,0.6725206612,0.6559917355,0.6559917355,0.6642561983,0.7076446281,0.6756198347,0.6694214876,0.6559917355,0.6911157025,0.6725206612,0.6621900826,0.6766528926,0.6787190083,0.694214876,0.6766528926,0.6652892562,0.6776859504,0.6621900826,0.6776859504,0.6911157025,0.6869834711,0.6952479339,0.7045454545,0.6849173554,0.6869834711,0.6694214876,0.6931818182,0.701446281,0.6921487603,0.7035123967,0.7035123967,0.6880165289,0.7190082645,0.6776859504,0.708677686,0.7138429752,0.6911157025,0.7035123967,0.6921487603,0.7169421488,0.7066115702,0.7272727273,0.7365702479,0.7148760331,0.7128099174,0.7283057851,0.7334710744,0.7303719008,0.7076446281,0.7355371901,0.729338843,0.7117768595,0.7241735537,0.7355371901,0.7376033058,0.7582644628,0.7448347107,0.7448347107,0.7179752066,0.7365702479,0.7272727273,0.7407024793,0.742768595,0.7386363636,0.7190082645
2,0.09884332282,0.1167192429,0.1545741325,0.2039957939,0.2029442692,0.2597266036,0.2271293375,0.2712933754,0.2765509989,0.3038906414,0.2986330179,0.3007360673,0.334384858,0.3175604627,0.3396424816,0.3364879075,0.3459516299,0.3648790747,0.3722397476,0.396424816,0.3838065195,0.4016824395,0.356466877,0.4195583596,0.3827549947,0.3669821241,0.4079915878,0.3911671924,0.403785489,0.4079915878,0.4195583596,0.4279705573,0.4279705573,0.421661409,0.4300736067,0.4384858044,0.4479495268,0.4637223975,0.4300736067,0.4637223975,0.4479495268,0.4900105152,0.4532071504,0.4416403785,0.4731861199,0.4616193481,0.4700315457,0.4826498423,0.4900105152,0.4447949527,0.5005257624,0.4794952681,0.4658254469,0.468980021,0.4731861199,0.5036803365,0.4921135647,0.4784437434,0.5078864353,0.4815983176,0.5299684543,0.4773922187,0.5173501577,0.5068349106,0.531019979,0.5047318612,0.5120925342,0.5299684543,0.5047318612,0.5057833859,0.5215562566,0.523659306,0.5110410095,0.5194532072,0.5341745531,0.5078864353,0.5404837014,0.5373291272,0.5499474238,0.5436382755,0.531019979,0.5552050473,0.5436382755,0.5289169295,0.5667718191,0.5720294427,0.5583596215,0.5531019979,0.5467928496,0.5888538381,0.578338591,0.5720294427,0.5720294427,0.5625657203,0.6004206099,0.5751840168,0.5699263933,0.5804416404,0.5856992639,0.5846477392,0.6214511041,0.5741324921,0.5646687697,0.5835962145,0.5856992639,0.6014721346,0.5867507886,0.5846477392,0.6046267087,0.603575184,0.5878023134,0.6330178759,0.6203995794,0.6046267087,0.5920084122,0.5909568875,0.6498422713,0.6172450053,0.6077812829,0.6067297581,0.6004206099,0.6309148265,0.5972660358,0.6140904311,0.6203995794,0.6550998948,0.6445846477,0.6140904311,0.6246056782,0.6466876972,0.6351209253,0.6203995794,0.610935857,0.6088328076,0.6529968454,0.6550998948,0.6372239748,0.6687697161,0.665615142,0.643533123,0.6824395373,0.6477392219,0.6824395373,0.6561514196,0.6740273396,0.6466876972,0.6593059937,0.6635120925,0.6624605678,0.6677181914,0.6866456362,0.6477392219,0.6645636172,0.6782334385,0.6940063091,0.6593059937,0.6740273396,0.6624605678,0.6961093586,0.6666666667,0.6708727655,0.6729758149,0.6687697161,0.6687697161,0.6919032597,0.690851735,0.6919032597,0.7129337539,0.7013669821,0.7034700315,0.7150368034,0.6929547844,0.7066246057,0.7213459516,0.7003154574,0.7266035752,0.6950578339,0.705573081,0.698212408,0.7024185068,0.7097791798,0.7024185068,0.7087276551,0.7076761304,0.7118822292,0.698212408,0.738170347,0.7087276551,0.7034700315,0.7076761304,0.7118822292,0.7160883281,0.6961093586,0.7129337539,0.7118822292,0.7276550999,0.7392218717,0.752891693,0.7160883281,0.7202944269
3,0.09642470206,0.1159263272,0.1635969664,0.1755146262,0.2210184182,0.2351029252,0.2676056338,0.2654387866,0.2708559047,0.2860238353,0.3044420368,0.3206933911,0.3228602384,0.323943662,0.3098591549,0.3033586132,0.3499458288,0.3456121343,0.3434452871,0.3759479957,0.3672806067,0.383531961,0.3878656555,0.3781148429,0.3856988082,0.3900325027,0.4257854821,0.3824485374,0.4030335861,0.4041170098,0.4420368364,0.4182015168,0.3997833153,0.3986998917,0.4236186349,0.4160346696,0.4615384615,0.4615384615,0.4463705309,0.4799566631,0.4420368364,0.4897074756,0.4507042254,0.4539544962,0.465872156,0.4799566631,0.4832069339,0.4853737811,0.4842903575,0.4637053088,0.4875406284,0.4767063922,0.4994582882,0.4712892741,0.4832069339,0.4929577465,0.4821235103,0.4821235103,0.502708559,0.4994582882,0.497291441,0.4962080173,0.5276273023,0.5287107259,0.5146262189,0.5373781148,0.5222101842,0.5265438787,0.5297941495,0.5265438787,0.5590465872,0.5395449621,0.548212351,0.5330444204,0.5471289274,0.5612134345,0.5406283857,0.5969664139,0.5525460455,0.5427952329,0.5677139762,0.5687973998,0.5503791983,0.5872156013,0.5492957746,0.5817984832,0.5612134345,0.5861321777,0.570964247,0.570964247,0.5817984832,0.5666305525,0.6013001083,0.570964247,0.5882990249,0.5850487541,0.6002166847,0.6056338028,0.5861321777,0.6078006501,0.5969664139,0.6143011918,0.5817984832,0.625135428,0.5839653304,0.616468039,0.5915492958,0.6218851571,0.6078006501,0.593716143,0.6056338028,0.6229685807,0.6273022752,0.6327193933,0.6218851571,0.6121343445,0.6316359697,0.6522210184,0.6500541712,0.6348862405,0.6370530878,0.6706392199,0.6348862405,0.639219935,0.6522210184,0.6673889491,0.6489707476,0.6446370531,0.661971831,0.6554712893,0.6457204767,0.6630552546,0.6663055255,0.6468039003,0.6511375948,0.6912242687,0.653304442,0.6348862405,0.6598049837,0.6803900325,0.6641386782,0.6522210184,0.6673889491,0.6446370531,0.6695557963,0.698808234,0.6663055255,0.661971831,0.6966413868,0.6825568797,0.6933911159,0.6803900325,0.6793066089,0.6717226436,0.6901408451,0.7128927411,0.6749729144,0.684723727,0.6890574215,0.6923076923,0.6890574215,0.6782231853,0.698808234,0.6998916576,0.7107258938,0.7020585049,0.7204767064,0.6782231853,0.6858071506,0.7085590466,0.7009750813,0.7161430119,0.6868905742,0.7020585049,0.7053087757,0.7193932828,0.7020585049,0.7139761647,0.7183098592,0.7128927411,0.7258938245,0.7161430119,0.7367280607,0.7248104009,0.6901408451,0.72156013,0.7291440953,0.7172264355,0.7096424702,0.7204767064,0.7172264355,0.7410617551,0.7388949079,0.7280606717,0.7150595883,0.7497291441,0.730227519,0.7453954496,0.7323943662,0.7367280607
4,0.09205020921,0.1338912134,0.1548117155,0.2008368201,0.2018828452,0.2447698745,0.2562761506,0.280334728,0.2615062762,0.3085774059,0.320083682,0.2939330544,0.3232217573,0.3232217573,0.3064853556,0.3336820084,0.3462343096,0.3817991632,0.3629707113,0.3535564854,0.3953974895,0.3765690377,0.3891213389,0.4027196653,0.379707113,0.4079497908,0.4131799163,0.4194560669,0.4131799163,0.4089958159,0.410041841,0.4571129707,0.429916318,0.4372384937,0.4278242678,0.429916318,0.4550209205,0.4539748954,0.460251046,0.4309623431,0.4382845188,0.4665271967,0.4644351464,0.4728033473,0.4853556485,0.4822175732,0.480125523,0.4665271967,0.5041841004,0.5135983264,0.489539749,0.4811715481,0.4947698745,0.5083682008,0.5062761506,0.5292887029,0.5240585774,0.5,0.5125523013,0.519874477,0.5292887029,0.4926778243,0.5366108787,0.5449790795,0.5292887029,0.5460251046,0.5271966527,0.5010460251,0.5387029289,0.5523012552,0.5512552301,0.5585774059,0.5648535565,0.5418410042,0.5407949791,0.5805439331,0.5449790795,0.559623431,0.5774058577,0.5774058577,0.559623431,0.5732217573,0.5763598326,0.5910041841,0.5836820084,0.5993723849,0.5847280335,0.5690376569,0.5575313808,0.5679916318,0.5868200837,0.6140167364,0.6066945607,0.6066945607,0.5774058577,0.5794979079,0.6035564854,0.6182008368,0.6140167364,0.6129707113,0.5951882845,0.6140167364,0.5857740586,0.6014644351,0.609832636,0.5920502092,0.6066945607,0.6161087866,0.6150627615,0.6182008368,0.589958159,0.6213389121,0.6307531381,0.6338912134,0.6213389121,0.6338912134,0.6589958159,0.6558577406,0.6464435146,0.6161087866,0.6412133891,0.6066945607,0.6537656904,0.640167364,0.6307531381,0.6433054393,0.6506276151,0.6359832636,0.6255230126,0.6558577406,0.6359832636,0.6527196653,0.6412133891,0.6621338912,0.6673640167,0.6453974895,0.660041841,0.6537656904,0.6506276151,0.6589958159,0.660041841,0.6757322176,0.6652719665,0.6914225941,0.7008368201,0.6778242678,0.6589958159,0.6872384937,0.6767782427,0.6767782427,0.6621338912,0.6830543933,0.6642259414,0.6882845188,0.6705020921,0.7133891213,0.6820083682,0.7039748954,0.6537656904,0.6935146444,0.6736401674,0.679916318,0.7029288703,0.7081589958,0.6935146444,0.6746861925,0.660041841,0.7060669456,0.6809623431,0.7112970711,0.6882845188,0.7123430962,0.719665272,0.7353556485,0.7207112971,0.7175732218,0.6935146444,0.7112970711,0.7175732218,0.7018828452,0.7008368201,0.7290794979,0.7123430962,0.7447698745,0.730125523,0.6976987448,0.7081589958,0.7364016736,0.7175732218,0.7426778243,0.7269874477,0.7322175732,0.739539749,0.7489539749,0.7228033473,0.7133891213,0.7364016736,0.7165271967,0.7238493724,0.7207112971
5,0.1064039409,0.1359605911,0.1467980296,0.1950738916,0.2088669951,0.2443349754,0.2433497537,0.281773399,0.2413793103,0.2630541872,0.2532019704,0.3064039409,0.3024630542,0.3123152709,0.3024630542,0.3044334975,0.3359605911,0.3507389163,0.3261083744,0.3556650246,0.3320197044,0.3665024631,0.357635468,0.39408867,0.3822660099,0.3674876847,0.4147783251,0.3911330049,0.4128078818,0.4068965517,0.4108374384,0.4295566502,0.4463054187,0.4384236453,0.4088669951,0.4315270936,0.4433497537,0.4492610837,0.4482758621,0.4660098522,0.4729064039,0.4482758621,0.4650246305,0.4679802956,0.4630541872,0.4837438424,0.4768472906,0.478817734,0.4778325123,0.4945812808,0.484729064,0.5251231527,0.4995073892,0.5054187192,0.4975369458,0.4916256158,0.4699507389,0.5103448276,0.518226601,0.4975369458,0.515270936,0.4896551724,0.5290640394,0.5162561576,0.5221674877,0.5477832512,0.5339901478,0.5280788177,0.5743842365,0.5300492611,0.5221674877,0.5566502463,0.5300492611,0.5379310345,0.5497536946,0.5270935961,0.5596059113,0.5330049261,0.5428571429,0.5891625616,0.5379310345,0.5625615764,0.5487684729,0.5733990148,0.5458128079,0.5655172414,0.5694581281,0.5714285714,0.5862068966,0.5714285714,0.5990147783,0.5665024631,0.5862068966,0.6078817734,0.5714285714,0.6019704433,0.59408867,0.5862068966,0.6039408867,0.602955665,0.5960591133,0.6068965517,0.5783251232,0.59408867,0.6167487685,0.6,0.6147783251,0.5950738916,0.6216748768,0.6334975369,0.6502463054,0.6147783251,0.6157635468,0.6295566502,0.602955665,0.6157635468,0.6334975369,0.6433497537,0.6285714286,0.6197044335,0.6640394089,0.6285714286,0.6561576355,0.639408867,0.6344827586,0.6532019704,0.6285714286,0.6334975369,0.6502463054,0.6748768473,0.6374384236,0.6463054187,0.6620689655,0.6581280788,0.6600985222,0.6571428571,0.6620689655,0.6482758621,0.6591133005,0.6443349754,0.6522167488,0.6640394089,0.6886699507,0.6650246305,0.639408867,0.6600985222,0.6482758621,0.6916256158,0.6502463054,0.6975369458,0.6857142857,0.6935960591,0.6906403941,0.6935960591,0.6935960591,0.6689655172,0.6798029557,0.7064039409,0.678817734,0.6896551724,0.6916256158,0.6945812808,0.7054187192,0.684729064,0.6906403941,0.7073891626,0.6916256158,0.7192118227,0.684729064,0.7064039409,0.7093596059,0.7064039409,0.7261083744,0.6995073892,0.6926108374,0.7142857143,0.7103448276,0.715270936,0.7044334975,0.7339901478,0.7024630542,0.7300492611,0.7014778325,0.7142857143,0.7064039409,0.7231527094,0.7408866995,0.7261083744,0.7300492611,0.7527093596,0.7349753695,0.7231527094,0.7330049261,0.7458128079,0.7408866995,0.718226601,0.7359605911,0.7359605911,0.721182266,0.757635468
6,0.1065022422,0.1502242152,0.1816143498,0.201793722,0.2152466368,0.2432735426,0.2387892377,0.2802690583,0.2634529148,0.283632287,0.2993273543,0.3094170404,0.3161434978,0.3060538117,0.3161434978,0.3273542601,0.3340807175,0.33632287,0.3464125561,0.3452914798,0.3721973094,0.369955157,0.4091928251,0.4125560538,0.3946188341,0.4035874439,0.4069506726,0.4316143498,0.4013452915,0.4450672646,0.4338565022,0.4304932735,0.4248878924,0.4360986547,0.4540358744,0.4316143498,0.4338565022,0.432735426,0.4562780269,0.451793722,0.4630044843,0.4652466368,0.4786995516,0.4820627803,0.4686098655,0.4932735426,0.4686098655,0.485426009,0.4887892377,0.4910313901,0.4932735426,0.4753363229,0.4966367713,0.5235426009,0.5056053812,0.5011210762,0.5426008969,0.5313901345,0.5426008969,0.5112107623,0.5302690583,0.5515695067,0.5044843049,0.5661434978,0.5426008969,0.5112107623,0.5695067265,0.5426008969,0.5325112108,0.548206278,0.5594170404,0.5739910314,0.5639013453,0.5728699552,0.5459641256,0.552690583,0.5582959641,0.5829596413,0.5717488789,0.5717488789,0.5762331839,0.5627802691,0.5874439462,0.552690583,0.5661434978,0.58632287,0.600896861,0.581838565,0.6053811659,0.5874439462,0.5874439462,0.6031390135,0.6143497758,0.5784753363,0.615470852,0.6042600897,0.6042600897,0.6098654709,0.6098654709,0.5795964126,0.6401345291,0.5997757848,0.6031390135,0.619955157,0.5975336323,0.6255605381,0.6109865471,0.6423766816,0.6177130045,0.6098654709,0.6165919283,0.6311659193,0.6076233184,0.6255605381,0.6221973094,0.6356502242,0.5896860987,0.6210762332,0.6367713004,0.6334080717,0.6479820628,0.6580717489,0.6412556054,0.6401345291,0.6502242152,0.6244394619,0.66367713,0.6423766816,0.6188340807,0.6647982063,0.6479820628,0.6647982063,0.6524663677,0.6446188341,0.6804932735,0.6244394619,0.6356502242,0.6513452915,0.6614349776,0.6647982063,0.66367713,0.6547085202,0.6446188341,0.6782511211,0.6726457399,0.6647982063,0.6737668161,0.7062780269,0.6860986547,0.6928251121,0.6917040359,0.6872197309,0.6670403587,0.6984304933,0.6782511211,0.6771300448,0.6894618834,0.6872197309,0.6737668161,0.6984304933,0.6950672646,0.6816143498,0.7040358744,0.6670403587,0.6984304933,0.6670403587,0.697309417,0.7096412556,0.6950672646,0.6793721973,0.6984304933,0.6917040359,0.6961883408,0.6849775785,0.6905829596,0.6917040359,0.730941704,0.7029147982,0.6984304933,0.6961883408,0.7197309417,0.7174887892,0.701793722,0.697309417,0.7443946188,0.7410313901,0.716367713,0.716367713,0.730941704,0.7208520179,0.7029147982,0.730941704,0.7286995516,0.7197309417,0.7152466368,0.7242152466,0.7298206278,0.7286995516,0.7421524664,0.7399103139
7,0.1149171271,0.09613259669,0.09944751381,0.07845303867,0.0861878453,0.07845303867,0.07955801105,0.08066298343,0.06961325967,0.07845303867,0.07513812155,0.07845303867,0.06408839779,0.05745856354,0.07182320442,0.07624309392,0.08839779006,0.05635359116,0.0729281768,0.05635359116,0.0773480663,0.05966850829,0.05635359116,0.06519337017,0.06850828729,0.0729281768,0.06961325967,0.05856353591,0.07955801105,0.07071823204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.1288604899,0.1309904153,0.1427050053,0.1959531416,0.2066027689,0.2268370607,0.2300319489,0.2555910543,0.2406815761,0.2651757188,0.2715654952,0.2832800852,0.2832800852,0.2864749734,0.3003194888,0.3312034079,0.3439829606,0.3333333333,0.3407880724,0.3769968051,0.3407880724,0.3780617678,0.3855165069,0.404685836,0.4100106496,0.369542066,0.4270500532,0.4121405751,0.4217252396,0.4078807242,0.4494142705,0.4419595314,0.4195953142,0.4494142705,0.4387646432,0.4302449414,0.447284345,0.470713525,0.4089456869,0.4408945687,0.4760383387,0.4685835996,0.4771033014,0.4973375932,0.4558040469,0.4600638978,0.4696485623,0.4728434505,0.4813631523,0.4952076677,0.4653887114,0.4771033014,0.4856230032,0.4920127796,0.4653887114,0.5005324814,0.4643237487,0.5005324814,0.5090521832,0.4739084132,0.4845580405,0.517571885,0.4952076677,0.4888178914,0.5101171459,0.4952076677,0.5250266241,0.5101171459,0.5452609159,0.5111821086,0.5473908413,0.5079872204,0.5197018104,0.4845580405,0.517571885,0.5378061768,0.5356762513,0.5399361022,0.560170394,0.5697550586,0.5665601704,0.5612353568,0.5207667732,0.5569755059,0.5846645367,0.5612353568,0.5580404686,0.5591054313,0.5676251331,0.5697550586,0.5846645367,0.5825346113,0.5814696486,0.5889243876,0.5804046858,0.5633652822,0.5676251331,0.5569755059,0.5804046858,0.5697550586,0.5750798722,0.5793397231,0.6293929712,0.5612353568,0.5921192758,0.5804046858,0.583599574,0.5804046858,0.6080937167,0.6038338658,0.5921192758,0.5974440895,0.5942492013,0.6112886049,0.6208732694,0.6144834931,0.5931842386,0.6144834931,0.6251331203,0.6208732694,0.6368477103,0.6411075612,0.6219382322,0.630457934,0.6283280085,0.6134185304,0.6230031949,0.6517571885,0.6517571885,0.649627263,0.6240681576,0.6581469649,0.6347177849,0.6411075612,0.6464323749,0.6485623003,0.6560170394,0.661341853,0.6666666667,0.6357827476,0.6666666667,0.6368477103,0.649627263,0.6943556976,0.6783812567,0.6581469649,0.673056443,0.6751863685,0.6858359957,0.6858359957,0.6805111821,0.6528221512,0.6719914803,0.661341853,0.6687965921,0.6762513312,0.6879659212,0.6698615548,0.6879659212,0.6805111821,0.696485623,0.6869009585,0.6837060703,0.6837060703,0.7071352503,0.708200213,0.6719914803,0.708200213,0.696485623,0.6709265176,0.6922257721,0.7039403621,0.7050053248,0.6954206603,0.6762513312,0.684771033,0.7273695421,0.7103301384,0.7156549521,0.7231096912,0.7337593184,0.6996805112,0.7167199148,0.719914803,0.7177848775,0.7135250266,0.731629393,0.7156549521,0.7135250266,0.7220447284,0.6900958466,0.6996805112,0.7209797657,0.7220447284,0.7390841321,0.7188498403,0.7720979766,0.7305644302,0.7252396166,0.7305644302
9,0.07488584475,0.1662100457,0.1808219178,0.1917808219,0.1762557078,0.2228310502,0.2401826484,0.2429223744,0.2456621005,0.2684931507,0.2739726027,0.2712328767,0.302283105,0.3086757991,0.3077625571,0.3178082192,0.3260273973,0.3442922374,0.3461187215,0.3716894977,0.3634703196,0.3726027397,0.3789954338,0.3890410959,0.3908675799,0.3835616438,0.4283105023,0.4109589041,0.4219178082,0.402739726,0.4082191781,0.4237442922,0.4392694064,0.4538812785,0.4337899543,0.4383561644,0.4420091324,0.4621004566,0.4630136986,0.4849315068,0.4721461187,0.4621004566,0.499543379,0.4602739726,0.4940639269,0.4675799087,0.4812785388,0.4812785388,0.4703196347,0.499543379,0.4821917808,0.4931506849,0.4721461187,0.5123287671,0.5123287671,0.5050228311,0.497716895,0.4913242009,0.5223744292,0.5168949772,0.5497716895,0.5278538813,0.5315068493,0.5114155251,0.5442922374,0.5378995434,0.5150684932,0.5315068493,0.5187214612,0.5342465753,0.5835616438,0.5397260274,0.5333333333,0.5114155251,0.5525114155,0.5479452055,0.5506849315,0.5506849315,0.5534246575,0.5378995434,0.5726027397,0.5744292237,0.5406392694,0.5671232877,0.5689497717,0.5543378995,0.5853881279,0.5744292237,0.5744292237,0.5762557078,0.5744292237,0.6082191781,0.5634703196,0.6091324201,0.5817351598,0.59543379,0.59543379,0.6082191781,0.5936073059,0.5771689498,0.5835616438,0.6054794521,0.5936073059,0.5908675799,0.5625570776,0.5890410959,0.5863013699,0.6073059361,0.6063926941,0.600913242,0.6210045662,0.599086758,0.6365296804,0.6228310502,0.6118721461,0.6301369863,0.6164383562,0.6210045662,0.6182648402,0.6392694064,0.6328767123,0.6146118721,0.6310502283,0.6401826484,0.6319634703,0.6438356164,0.6447488584,0.6529680365,0.6520547945,0.6529680365,0.6593607306,0.6511415525,0.6630136986,0.6465753425,0.6566210046,0.6748858447,0.6502283105,0.6520547945,0.6538812785,0.6593607306,0.6593607306,0.6666666667,0.6712328767,0.6831050228,0.6858447489,0.6913242009,0.6757990868,0.6794520548,0.704109589,0.702283105,0.6721461187,0.6657534247,0.6922374429,0.6940639269,0.698630137,0.6913242009,0.6721461187,0.6712328767,0.6803652968,0.6721461187,0.702283105,0.6913242009,0.6940639269,0.6821917808,0.7086757991,0.7178082192,0.6904109589,0.6913242009,0.7168949772,0.6931506849,0.702283105,0.7159817352,0.7150684932,0.697716895,0.6867579909,0.7086757991,0.7095890411,0.7050228311,0.7159817352,0.700456621,0.7205479452,0.7351598174,0.7342465753,0.7260273973,0.7333333333,0.7123287671,0.6885844749,0.7086757991,0.7488584475,0.7168949772,0.7415525114,0.7406392694,0.7388127854,0.7378995434,0.7607305936,0.7178082192,0.7452054795,0.7378995434,0.7424657534,0.7579908676
