Client,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75,Round 76,Round 77,Round 78,Round 79,Round 80,Round 81,Round 82,Round 83,Round 84,Round 85,Round 86,Round 87,Round 88,Round 89,Round 90,Round 91,Round 92,Round 93,Round 94,Round 95,Round 96,Round 97,Round 98,Round 99,Round 100,Round 101,Round 102,Round 103,Round 104,Round 105,Round 106,Round 107,Round 108,Round 109,Round 110,Round 111,Round 112,Round 113,Round 114,Round 115,Round 116,Round 117,Round 118,Round 119,Round 120,Round 121,Round 122,Round 123,Round 124,Round 125,Round 126,Round 127,Round 128,Round 129,Round 130,Round 131,Round 132,Round 133,Round 134,Round 135,Round 136,Round 137,Round 138,Round 139,Round 140,Round 141,Round 142,Round 143,Round 144,Round 145,Round 146,Round 147,Round 148,Round 149,Round 150,Round 151,Round 152,Round 153,Round 154,Round 155,Round 156,Round 157,Round 158,Round 159,Round 160,Round 161,Round 162,Round 163,Round 164,Round 165,Round 166,Round 167,Round 168,Round 169,Round 170,Round 171,Round 172,Round 173,Round 174,Round 175,Round 176,Round 177,Round 178,Round 179,Round 180,Round 181,Round 182,Round 183,Round 184,Round 185,Round 186,Round 187,Round 188,Round 189,Round 190,Round 191,Round 192,Round 193,Round 194,Round 195,Round 196,Round 197,Round 198,Round 199,Round 200
0,2.301342519,2.296531002,2.29076004,2.279091779,2.259260726,2.207125332,2.115132183,2.056578687,2.023762567,1.986722858,1.982781654,1.942141789,1.9501092,1.914721239,1.885209656,1.860465395,1.828575395,1.840680077,1.829319726,1.817307973,1.708449298,1.713147753,1.708684967,1.701011272,1.687543631,1.687840512,1.66803016,1.668263799,1.580641375,1.61724656,1.540254886,1.54695613,1.525423181,1.576527422,1.54209952,1.476850235,1.555348769,1.514858642,1.466724541,1.514639587,1.493976916,1.483667951,1.441165508,1.459909464,1.434245977,1.426410024,1.44248087,1.412861186,1.406781632,1.409836649,1.398149867,1.39760593,1.333106667,1.365207534,1.408391224,1.36292104,1.422781442,1.370179916,1.334766783,1.382698123,1.356316365,1.357107994,1.317505181,1.419260646,1.340806924,1.298483579,1.294745039,1.281916229,1.355537395,1.363713392,1.321270833,1.25149062,1.317312138,1.2918876,1.286881653,1.227863327,1.244869799,1.251138522,1.246130823,1.262199568,1.280269378,1.224749912,1.232691874,1.219777735,1.235382073,1.201942748,1.236701967,1.203504745,1.212038374,1.29933192,1.179233778,1.188799641,1.195030843,1.187045509,1.164995724,1.239609592,1.14504876,1.18150937,1.159807021,1.174626223,1.112147145,1.123615838,1.082588378,1.136424505,1.141763479,1.132774093,1.074593548,1.097543621,1.082077716,1.093868493,1.102564804,1.093625088,1.083780605,1.123195596,1.010006349,1.077097252,1.068212038,1.081253176,1.088426468,1.060941718,1.039862986,1.058150902,1.058586243,1.057398533,1.067488147,1.019060415,1.051500529,1.071621128,1.054005743,1.04335339,1.062184623,0.9970753301,0.9629814108,0.9971715207,0.9986375472,0.977027629,0.9997116723,1.000095064,0.9538671239,0.9812736554,0.9832304837,0.9180192255,0.9747768024,1.003038721,0.8962393404,0.9500712854,0.9711260131,0.9969640816,0.9453418529,0.9708511134,0.9645378286,0.9369809137,0.9348857726,0.9421242275,0.9250137255,0.9203282218,0.9263170478,0.9418686413,0.8845777168,0.9951572047,0.9171208279,0.9153970998,0.9130568968,0.8946437362,0.8573813078,0.9043129388,0.8675413398,0.8945094631,0.9286092403,0.9287526647,0.8595259873,0.8908125514,0.8643448952,0.8811900619,0.8745433433,0.8477456084,0.805507473,0.8472609915,0.8698430263,0.8334668119,0.8458569932,0.8647250968,0.8292489265,0.8315190739,0.8412684093,0.8077366804,0.8002546921,0.8401816192,0.8791123597,0.7904672579,0.8267990169,0.8283419949,0.8086931071,0.7743287606,0.8506322826,0.8178817411,0.7925159456,0.7527808853,0.8035671302,0.7594849969
1,2.29727841,2.295211002,2.288159989,2.280437255,2.256498211,2.193582809,2.11473771,2.068563473,1.987413651,1.984975833,1.962470366,1.924425228,1.881696453,1.8791005,1.863482249,1.852683691,1.867837799,1.773448438,1.737005173,1.774445703,1.742427659,1.720562064,1.668137091,1.661555517,1.64134305,1.622609392,1.591459666,1.59728698,1.614691657,1.583929747,1.544876962,1.560875816,1.491971825,1.57342744,1.540520788,1.507876185,1.562437869,1.455598415,1.464998873,1.489887691,1.427176378,1.476809713,1.44225463,1.457044427,1.455442657,1.449640262,1.49623126,1.44377846,1.453281598,1.455675331,1.387801717,1.398694587,1.415800882,1.336567422,1.360635393,1.386518534,1.404285164,1.398561623,1.351286831,1.297821936,1.362045748,1.268456205,1.297688222,1.286885793,1.313404606,1.348627879,1.319846275,1.296084053,1.288074352,1.334299889,1.305416877,1.277212748,1.329774524,1.247408349,1.251445017,1.237320057,1.267594475,1.25674781,1.225625425,1.222245622,1.21400653,1.273475121,1.249512671,1.224655394,1.217203324,1.161301215,1.159751396,1.173428634,1.179390308,1.201851151,1.16706711,1.166425483,1.164831459,1.153527106,1.153926267,1.20625875,1.117698001,1.180339109,1.157486039,1.096893545,1.1171026,1.141417109,1.090901726,1.175094288,1.123892359,1.16761622,1.115065507,1.124651607,1.106442076,1.047453603,1.111840219,1.103110365,1.093392245,1.082281978,1.078585252,1.072816033,1.040029673,1.107797361,1.073086183,1.073273078,1.062297461,1.074704051,1.038677002,1.069265011,1.051232953,1.04725432,1.049652608,0.9641022328,0.9809858159,0.9741112496,0.9890270184,1.005556725,1.024261157,0.9933679596,1.004072674,0.9795290143,1.012796845,0.9884847954,0.9588851796,0.9125666313,0.962059222,0.9538391011,0.9668497522,0.9666968623,0.9537263399,0.959697551,0.9525408888,0.9409231135,0.8966622303,0.9529379705,0.9634875966,0.9464862672,0.9463099525,0.9496269034,0.9125245455,0.9364380433,0.9109425697,0.9267469654,0.8963449159,0.9217939638,0.9511387388,0.9032293445,0.8996429335,0.8873271459,0.8823095678,0.877519077,0.9296841745,0.8824026195,0.9380938701,0.8572101209,0.8391562375,0.8838173176,0.8752387673,0.8811254501,0.853522514,0.8338434263,0.8018737421,0.8397090258,0.8534039116,0.8484806679,0.7852247495,0.8012743321,0.8363579657,0.8585596489,0.8200961701,0.8209899378,0.8376042567,0.8638757186,0.7947585519,0.7996387516,0.7698427143,0.7849899989,0.7719964912,0.8051042251,0.7963311675,0.7960117839,0.756855079,0.7579572536,0.7836904122,0.8064993029
2,2.298934011,2.294113617,2.288317625,2.278902763,2.251015029,2.204920807,2.13796169,2.075865695,2.04840158,1.992742725,1.990483968,1.96234202,1.90033025,1.891164974,1.888911841,1.858463175,1.836508009,1.793897779,1.820683276,1.75818741,1.762352405,1.730051284,1.783141547,1.695913655,1.687341691,1.715405735,1.690118265,1.709291395,1.659931986,1.621765364,1.587771319,1.578905798,1.568694416,1.61193819,1.564646871,1.579739959,1.521176235,1.500702126,1.552073061,1.526351347,1.519959558,1.452235518,1.536232278,1.473378943,1.471437419,1.53746184,1.499689422,1.44161199,1.48302225,1.473486527,1.416709954,1.442238343,1.446739779,1.443395018,1.413557913,1.413402899,1.391162441,1.434572109,1.377624623,1.414554473,1.307444276,1.413245834,1.298612531,1.3804492,1.320317816,1.383904395,1.350817195,1.279545571,1.357868407,1.333199758,1.324037309,1.312225244,1.33411775,1.301154077,1.320879329,1.361186799,1.310886976,1.264075183,1.273654572,1.25086076,1.307967457,1.266900507,1.254669526,1.274416594,1.231098371,1.237350385,1.216341305,1.271925014,1.231100273,1.195519771,1.202730892,1.206420252,1.221455682,1.215695572,1.160571438,1.201809929,1.227732821,1.213154294,1.158419187,1.167649622,1.116025249,1.178723692,1.160184079,1.177478684,1.169251777,1.148951522,1.155372234,1.160753659,1.134996779,1.116574366,1.174136092,1.077389767,1.123199438,1.130488611,1.105286458,1.120423027,1.03235853,1.100664359,1.108252123,1.064363564,1.093169566,1.028281336,1.13136578,1.105866689,1.101949264,1.010638421,1.020152581,1.083041151,1.080607031,1.010432543,1.058808913,1.038869261,1.051695759,1.11627085,1.022641406,0.9905361729,1.01382818,0.9596450062,0.9656237064,1.022513231,0.9498993071,0.9857211762,0.9295069785,1.000581846,0.9910982535,1.049815008,0.9997566008,0.96974754,1.002200316,0.9927520911,0.9632538266,0.970584975,0.9887312933,0.9397247745,0.9197068648,0.9549708271,0.9598632088,0.974009478,0.8742046171,0.970435479,0.9323728584,0.9511280581,0.9462982441,0.954943518,0.8835229786,0.9199393979,0.9118758508,0.8619739845,0.8669459244,0.852933797,0.8744486956,0.89502138,0.8598755524,0.8356397354,0.8677199435,0.9047160129,0.8880463667,0.8827049564,0.8978607106,0.8925322517,0.8739924047,0.8635677985,0.8376549827,0.8679045253,0.8285242243,0.8848806529,0.8256034031,0.8312567519,0.8587272459,0.8448238372,0.843136351,0.8223499038,0.8902690768,0.8393810119,0.803962508,0.8063742369,0.777987253,0.7680361192,0.8093160133,0.7944372115
3,2.300127927,2.296561976,2.289714909,2.281409839,2.258665165,2.206950495,2.119819266,2.050908264,2.037878505,2.014531392,1.942169892,1.945494195,1.906056604,1.890222512,1.89856902,1.887066241,1.807451434,1.821321982,1.795679386,1.780899115,1.723239644,1.712902826,1.720428668,1.719643995,1.709663407,1.631500004,1.636645882,1.652050258,1.639016441,1.642612952,1.540126665,1.590785097,1.585222898,1.590861445,1.545541378,1.54674855,1.488489417,1.485937925,1.51187946,1.44789078,1.48202971,1.401691929,1.495502548,1.458746686,1.455776495,1.471508211,1.426688021,1.421152654,1.381577862,1.45362508,1.406497795,1.434746776,1.372760571,1.395222371,1.394202587,1.352943681,1.379846009,1.418327298,1.357614745,1.335419756,1.350179264,1.352091735,1.312433081,1.307314655,1.343693268,1.271633355,1.330871226,1.320679166,1.318482819,1.288295074,1.279128925,1.316066158,1.301976154,1.257430608,1.247677717,1.239246335,1.250501516,1.209003164,1.23984811,1.23114927,1.25132424,1.215267188,1.222706991,1.194084942,1.264596665,1.206201028,1.210132535,1.191177485,1.201228577,1.238209726,1.196051235,1.198639954,1.156153485,1.209736233,1.180310268,1.182855131,1.16185695,1.145157509,1.16668095,1.097865398,1.117947675,1.101147913,1.130718196,1.109220578,1.133197347,1.116868019,1.137872953,1.098579616,1.102026744,1.142570891,1.110648754,1.073318158,1.074998717,1.083699894,1.071724326,1.087970721,1.089693128,1.039613999,1.03934516,1.032521998,1.057167333,0.9939284092,1.035177279,1.04016847,1.004393475,0.9814281011,1.02724504,1.0178894,1.012896765,1.03426119,1.019778491,1.002670945,0.9894824897,1.014168624,1.007449762,0.9557370921,1.003543363,1.003572107,0.938602267,0.9602954805,0.9780742777,0.9695952277,0.9312107771,0.9810510814,0.9411352116,0.907387984,0.9897827154,0.9870846284,0.9360791845,0.9147396899,0.9260356524,0.9332924071,0.903445402,0.9563895457,0.9008528025,0.893588697,0.9430220003,0.8940062504,0.8899543219,0.8774651801,0.8972630037,0.9261881489,0.8866308832,0.8614136978,0.8768622769,0.8698132137,0.8503722395,0.8926098024,0.8927942244,0.8646329427,0.8605370607,0.8198944723,0.8725807462,0.8439969063,0.8881918755,0.8357894921,0.8494291255,0.8485626706,0.8257486642,0.8597488259,0.8130694102,0.842623481,0.7954057437,0.8200040755,0.8752943406,0.8176894909,0.8052443269,0.8130481435,0.8380959177,0.766919356,0.800330912,0.8175188717,0.7888669736,0.7816053062,0.7937663015,0.7510164276,0.7765876002,0.7929251182,0.756440219,0.7616138514
4,2.299820561,2.296410243,2.290719929,2.279056144,2.261063297,2.210121353,2.108240722,2.049667997,2.027062332,1.974756145,1.969243805,1.962539677,1.940335537,1.881035633,1.922299848,1.886670325,1.848858733,1.79998117,1.823377788,1.766990317,1.727229537,1.704640361,1.721908987,1.696769447,1.725201176,1.677628672,1.645806209,1.660099057,1.632493171,1.646541177,1.575395932,1.590063752,1.600581948,1.556948462,1.575196517,1.598837045,1.52392783,1.501317018,1.499511607,1.498726634,1.538712504,1.489664193,1.44564973,1.491977579,1.45882571,1.476485378,1.478164813,1.480098252,1.422771649,1.403504806,1.421380527,1.436709787,1.41702723,1.383899863,1.398771929,1.363956127,1.366928623,1.373491725,1.386747192,1.340343724,1.346901496,1.403065784,1.313280931,1.312543844,1.322766768,1.29878587,1.309576572,1.321722922,1.281131277,1.266784446,1.29205011,1.292005953,1.283010775,1.303684435,1.33658234,1.23458223,1.294270818,1.271680749,1.275997961,1.208975411,1.256118951,1.242079199,1.204557779,1.206021774,1.222932635,1.170265272,1.229830167,1.192184407,1.243951014,1.230699211,1.158455244,1.156349468,1.157382924,1.158758175,1.210844187,1.187120539,1.129660717,1.158574486,1.157909459,1.139301438,1.176225568,1.104545329,1.162121839,1.137224398,1.124855463,1.112379702,1.114955332,1.097487071,1.103128449,1.096787599,1.190992992,1.112766243,1.071256061,1.053052919,1.088335699,1.059340946,1.028165291,1.038773091,1.05275165,1.083812766,1.026554592,1.112477886,1.020215686,1.029537573,1.047909068,1.011208647,1.032207301,1.023933932,1.065620425,1.015220599,1.043670207,0.9934464369,1.008427918,0.9914584798,1.015519689,1.005486544,1.007502789,1.018174825,0.9882298885,0.9765065579,0.9948351847,0.9614198555,0.9820385603,0.9149645437,0.9293626769,0.9563319085,0.9576939574,0.9096111605,0.9537511573,0.9524401491,0.9395887345,0.9293198129,0.9578785512,0.8927696656,0.9404293975,0.8775223421,0.9135434652,0.9102935517,0.9592023569,0.8773243637,0.9088113475,0.9280943559,0.8732540268,0.8685313299,0.9028411954,0.9122423288,0.9789061858,0.8899711099,0.9329839576,0.8535836312,0.8886403501,0.8473341161,0.8341556847,0.7948779666,0.8088837493,0.84415946,0.8945219198,0.8585393728,0.8323598195,0.8538955966,0.8647558225,0.8232655331,0.83397218,0.7809023206,0.8209083953,0.8471713966,0.8338603305,0.782562813,0.8176870034,0.7527990805,0.8079832254,0.7862061237,0.7853066141,0.8013517478,0.7811823884,0.8178916728,0.7693340604,0.7903695827,0.8032508615,0.7969486611
5,2.298589724,2.294933943,2.290875284,2.278541597,2.256816304,2.204262865,2.127260561,2.047100808,2.065824434,1.992859947,2.002715353,1.931045671,1.927121664,1.923391945,1.923890113,1.886968043,1.85464951,1.81266131,1.833048123,1.775256704,1.783064931,1.732397977,1.753320571,1.713000253,1.711071648,1.715638793,1.653031568,1.658134895,1.640340646,1.650743019,1.616659842,1.562000876,1.532889966,1.563598203,1.628084453,1.583387771,1.535321481,1.54629746,1.517206913,1.517958565,1.432644125,1.510299085,1.503403499,1.480079723,1.4935425,1.451406059,1.481787044,1.459734696,1.465548774,1.44673344,1.423826307,1.425198589,1.400845208,1.40232067,1.396640513,1.42113441,1.440924799,1.3883541,1.37998614,1.388941956,1.360334218,1.395915488,1.339982523,1.347394741,1.33746453,1.27051966,1.331621116,1.363638234,1.272155238,1.33072213,1.326400755,1.268956743,1.317951733,1.308246999,1.292954738,1.315497036,1.303993144,1.294909815,1.270032525,1.238180802,1.26355568,1.272707443,1.257662024,1.213761196,1.26949636,1.23857785,1.252614574,1.211188436,1.219173441,1.235832677,1.168871218,1.215416042,1.173715493,1.141120526,1.248459271,1.131906864,1.170831619,1.183086659,1.155268718,1.14201456,1.135489501,1.126208113,1.175794885,1.147338511,1.138119084,1.15065352,1.138218118,1.15026407,1.102527704,1.095624058,1.086452051,1.129603259,1.092101911,1.101403142,1.127185052,1.111014686,1.039556591,1.076275438,1.082066277,1.067185375,1.021794502,1.058062588,1.031327535,1.066466338,1.08784263,1.012704775,1.057968788,1.05273727,0.997761145,0.9708671202,1.023054776,1.049017328,1.014044583,1.018216494,1.017380612,1.012306926,0.9804445398,0.9916108037,1.024529596,1.025872425,0.9974464377,0.9520363511,0.9408102343,0.9551490572,0.9964923273,0.9634392042,1.010486794,0.945734416,0.9761451959,0.8852858815,0.9295197911,0.9452630969,0.9215079929,0.9177404006,0.9176644107,0.9540047029,0.9464822842,0.885754394,0.9273037542,0.9260925945,0.9238327493,0.9512980145,0.9159200955,0.8941845432,0.9080389763,0.881948358,0.9013689602,0.8864442362,0.9263959783,0.9044919037,0.8447294869,0.8743816524,0.8519306765,0.8719281339,0.864344682,0.8746236288,0.8527774661,0.8633261827,0.8953335122,0.8279300633,0.8813708982,0.8030932766,0.8576024117,0.8502367605,0.8675650871,0.813937868,0.7967443541,0.825240094,0.8207960554,0.7834779725,0.799366018,0.8153886316,0.8257217541,0.789661129,0.7869698295,0.8464691324,0.7902508298,0.7859510764,0.7804236461,0.7756189319
6,2.29826982,2.294816096,2.289262238,2.278394743,2.253839971,2.198493356,2.116727707,2.057160177,2.033367792,1.959809223,1.942059584,1.952414457,1.917442338,1.927903296,1.880665778,1.853806407,1.848716768,1.821800898,1.77101142,1.816173263,1.748053766,1.758432764,1.702000964,1.649881011,1.678535811,1.656005418,1.643447802,1.616206473,1.692231948,1.618043708,1.564877044,1.584939408,1.574340261,1.566948181,1.5239823,1.544225007,1.526534863,1.570178306,1.489031153,1.555592504,1.491768401,1.478551915,1.48117461,1.449588506,1.479397582,1.46159005,1.479467706,1.423111573,1.434954609,1.403225125,1.432981881,1.46575722,1.409027097,1.368693095,1.401590055,1.403312733,1.363745013,1.363145871,1.343430458,1.354730167,1.353895682,1.290960914,1.365404387,1.307238163,1.295772294,1.395716942,1.296833678,1.316229316,1.301219669,1.299790373,1.284455393,1.25055554,1.266600742,1.26189408,1.302833062,1.267434625,1.286796002,1.237631268,1.220334397,1.231137183,1.243496327,1.243657565,1.232477415,1.231830974,1.198767875,1.210197241,1.180419272,1.20699264,1.172205795,1.213359276,1.214850922,1.155958016,1.146278035,1.210135024,1.165809528,1.163400734,1.133660902,1.149992098,1.143609598,1.141999667,1.100145917,1.171258465,1.121935047,1.112689705,1.165603425,1.129264081,1.101438248,1.06793253,1.129590275,1.120512058,1.111903303,1.069125513,1.131658731,1.092361447,1.115336536,1.088192271,1.142399073,1.090079921,1.066894409,1.0540267,1.032936262,1.025166152,1.032131821,1.065263027,1.042252975,1.061827227,1.035255054,1.002107101,1.095490076,0.9854847514,1.024419522,1.022646109,1.01182039,0.9817964384,0.9667555877,1.047566693,1.049706558,1.04407093,0.9637913217,0.9932211327,0.9800557165,1.009254836,0.9910063482,0.9576094535,0.9397724805,0.9680911185,0.9524590774,0.9046002634,0.9494051832,0.9062067909,0.9136411025,0.9037710551,0.9581253913,0.9049590743,0.9167754984,0.9337700712,0.9185526796,0.9140257402,0.9342164304,0.8927455371,0.8947639086,0.9026214333,0.8841621365,0.9528215883,0.9088921232,0.9574623528,0.9062939928,0.8487010326,0.9100780361,0.9146568313,0.8433379822,0.8654686285,0.9006944513,0.9252127559,0.9084826791,0.9153423732,0.8335124187,0.8666740068,0.9106480829,0.8611542112,0.8408374623,0.8356461677,0.8632858027,0.8479372637,0.8116521528,0.7985477493,0.85209308,0.8028677189,0.8118902231,0.8330657095,0.9061618707,0.7916863061,0.8117461683,0.8123331391,0.7830185615,0.8345339429,0.7964211186,0.8173578288,0.779513033,0.8053385212
7,2.303292022,2.304176372,2.304544288,2.308631771,2.32034786,2.338360053,2.431278667,2.535174262,2.587691645,2.662149295,2.626474306,2.692304228,2.713259455,2.7856214,2.702023922,2.799278823,2.81622127,2.879257384,2.860723761,2.913312837,2.844014407,2.934605936,2.999998968,2.941622495,3.015715913,3.050075601,3.067670225,3.089272858,3.095560996,3.180678189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.297648079,2.29415706,2.291150649,2.277572963,2.253901424,2.212220972,2.125164909,2.081645268,2.063014068,1.980334952,1.994424065,1.949636383,1.916706782,1.943050341,1.901754281,1.882539235,1.828128448,1.821516846,1.769525863,1.776687934,1.775678247,1.70142809,1.725667984,1.686082906,1.674697602,1.684190823,1.632292289,1.659022235,1.572439368,1.622462818,1.581704505,1.567143772,1.574399048,1.576189637,1.549519324,1.535379721,1.531259864,1.493643091,1.540812147,1.530274006,1.492261605,1.53392794,1.419107454,1.414656108,1.481317361,1.462124545,1.44329732,1.458661945,1.416833725,1.420819774,1.431529553,1.421042425,1.43710533,1.451798484,1.440698569,1.400285701,1.40570603,1.393079811,1.36535973,1.385814627,1.38407927,1.383322519,1.33485166,1.400384816,1.357856832,1.382326174,1.34378912,1.35625155,1.293303491,1.346446652,1.311650733,1.356896304,1.321641222,1.364053331,1.330966244,1.333492652,1.27874333,1.27387224,1.246797871,1.2389418,1.236916127,1.250085751,1.288538858,1.218871312,1.260476044,1.250922036,1.221210505,1.23387921,1.193319519,1.218537149,1.164358832,1.193316195,1.181034496,1.180428392,1.181763367,1.214049512,1.187994824,1.220304014,1.185215503,1.204782725,1.163388493,1.133113776,1.143686461,1.17433614,1.105927768,1.151906521,1.189385394,1.137068401,1.151015582,1.124216004,1.135682263,1.125088819,1.100778318,1.118489239,1.076619833,1.106754492,1.141315895,1.094964174,1.061112713,1.061257556,1.08874371,1.041317066,1.063333719,1.053807003,1.071905749,1.107822443,1.05997248,1.033974969,1.018751785,1.010105862,1.071006886,0.9714863589,1.040872909,1.024595636,1.005532985,1.000139089,1.001568916,0.9885612029,0.9826068188,1.007462962,0.9675170866,1.037576912,0.9938602303,0.907331481,0.9244038296,1.021566036,0.9685581665,0.964674195,0.9137813521,0.9241708483,0.9023769591,0.9924465626,0.9536324195,0.9443312175,0.962580217,0.9184435172,0.9111784094,0.9540890631,0.8941431854,0.9126497428,0.8909117583,0.9340293172,0.9094041542,0.9341569491,0.867476135,0.8679720202,0.9307624593,0.8708814153,0.9123644996,0.9050408786,0.8858337908,0.8559915722,0.8740873317,0.9033253884,0.926628109,0.8973495045,0.8505142424,0.8995085162,0.8361035726,0.8911164869,0.8280294009,0.857646585,0.8577028533,0.8520819983,0.8416879444,0.8607293421,0.8364778422,0.8578690306,0.8453491256,0.8324046013,0.8949987221,0.8577990072,0.8285906277,0.8453145138,0.787927261,0.8306041512,0.7445610688,0.7884695688,0.8179468313,0.7966253582
9,2.299381258,2.294274342,2.287221238,2.278042079,2.252282395,2.203667168,2.123669313,2.070097894,2.045098601,1.996710579,1.986134722,1.984471884,1.948628015,1.922799058,1.875007379,1.896535184,1.867311155,1.822903018,1.801116112,1.770654683,1.735449429,1.745564135,1.753673383,1.707103731,1.662042952,1.674187652,1.636966587,1.62832017,1.616341648,1.645088484,1.614504693,1.580290205,1.581977675,1.528806718,1.553182502,1.53548403,1.564784776,1.522063114,1.537012643,1.486024065,1.474432286,1.493296411,1.453588337,1.464393157,1.432948355,1.468655014,1.442893521,1.439770376,1.465604577,1.456519391,1.448500653,1.424874263,1.440361362,1.432222252,1.376653752,1.417603865,1.403223577,1.4172628,1.364620401,1.383642294,1.300268207,1.342498069,1.33451993,1.3539652,1.290081511,1.342299508,1.343320424,1.306188332,1.33548463,1.286723991,1.251736197,1.337279784,1.32781338,1.365688724,1.248311531,1.274936604,1.281242487,1.292272688,1.265065925,1.262483714,1.237434643,1.21777058,1.252078731,1.231946727,1.227556035,1.267819595,1.175356214,1.189699601,1.211005217,1.172780784,1.196839232,1.141270728,1.253976987,1.128296861,1.162537348,1.165884252,1.168318996,1.129602486,1.155851651,1.171551014,1.189999027,1.155969043,1.128280073,1.158035497,1.163953116,1.182558766,1.140914516,1.10219113,1.099663718,1.117209933,1.087822836,1.108381825,1.050642229,1.075570639,1.093980831,1.055990147,1.102033961,1.08160426,1.051304485,1.056158261,1.061645056,1.068868073,1.058870071,1.056041909,1.038762774,1.037415979,1.037113545,1.026669176,1.018734185,0.9970284007,0.9890114635,1.020462264,0.9826029239,0.9832272415,0.9827706558,0.9566894476,1.012887329,1.005989439,0.9831866535,0.9769921899,0.9754898955,0.9680159527,0.9579808832,0.920290582,0.9525721478,0.9567403015,0.947188413,0.9597477327,0.8946672337,0.8891007536,0.9502415143,0.9631923112,0.9024672068,0.8798903136,0.9227770121,0.9420946765,0.9625391719,0.9330996812,0.9128851698,0.9400241573,0.8617482504,0.8918864853,0.9115369442,0.9297735157,0.8729865368,0.8526346343,0.8935106006,0.8858296199,0.8620012709,0.9035152704,0.8877507893,0.8113905417,0.8524753658,0.8602887068,0.905962351,0.8553051255,0.8594826176,0.8652795505,0.8368887598,0.8696424946,0.8120061803,0.8095400746,0.818244789,0.7911329949,0.810157982,0.834404894,0.8517083004,0.8434525714,0.7866102801,0.8162627809,0.7926905467,0.7637819954,0.7832877108,0.784941222,0.7490062845,0.8156122555,0.7670589777,0.7878929305,0.7610892802,0.7380218067
